,Max Proba
CD4Tnaive_Frequency,0.771
CCR2pcMC_Frequency,0.525
pDC_MAPKAPK2,0.438
CD4Trm_STAT6,0.414
Th1mem_STAT6,0.398
Tregnaive_STAT5,0.372
CD62LnAgedNeutrophils_S6,0.364
Tregnaive_STAT6,0.347
CCR2nncMC_MAPKAPK2,0.344
pDC_STAT5,0.319
CD62LpImmatureNeutrophils_Frequency,0.314
CD56brightCD16nNKcells_Frequency,0.281
CD8Tnaive_Frequency,0.275
CD62LnAgedNeutrophils_Frequency,0.27
Bcells_Frequency,0.267
Tregmem_STAT5,0.234
CD62LnAgedNeutrophils_IkB,0.233
CD4Trm_S6,0.178
gdTcells_IkB,0.167
CD61pCD41pPLT_CREB,0.161
intMC_S6,0.14
CCR2nncMC_S6,0.133
intMC_Frequency,0.127
mDC_S6,0.126
CD4Trm_STAT5,0.119
CCR2nncMC_Frequency,0.117
Th1naive_ERK,0.115
CD4Trm_NFkB,0.113
Th1naive_STAT6,0.111
Tregnaive_IkB,0.101
CD62LpImmatureNeutrophils_S6,0.094
CD61pCD41pPLT_S6,0.076
Tregnaive_ERK,0.069
pDC_S6,0.067
CD62LnAgedNeutrophils_p38,0.061
CD62LnAgedNeutrophils_MAPKAPK2,0.059
CCR2nncMC_NFkB,0.059
CD4Tcm_Frequency,0.059
Th1naive_NFkB,0.057
CD8Tnaive_IkB,0.055
CD61pCD41pPLT_STAT3,0.055
Th1naive_S6,0.047
Th1mem_STAT5,0.041
gdTcells_Frequency,0.04
MDSC_Frequency,0.039
Th1mem_ERK,0.037
CCR2nncMC_CREB,0.037
pDC_IkB,0.037
CD4Tcm_IkB,0.034
CCR2pcMC_S6,0.032
NKT_STAT6,0.031
CD56brightCD16nNKcells_IkB,0.029
MDSC_S6,0.026
CD62LnAgedNeutrophils_STAT3,0.025
MDSC_IkB,0.025
Tregmem_Frequency,0.025
mDC_IkB,0.024
CD62LpImmatureNeutrophils_IkB,0.021
mDC_Frequency,0.021
intMC_IkB,0.019
CD56dimCD16pNKcells_Frequency,0.016
CD41hiCD61hiPLT_p38,0.015
CD8Tnaive_STAT5,0.014
Tregnaive_S6,0.013
Th1mem_CREB,0.013
CD56dimCD16pNKcells_CREB,0.01
CD62LpImmatureNeutrophils_CREB,0.009
Th1naive_MAPKAPK2,0.009
pDC_STAT3,0.008
CD8Tcm_STAT3,0.007
Th1naive_CREB,0.007
Th1mem_S6,0.007
Bcells_NFkB,0.006
CD4Tem_STAT6,0.005
NKT_IkB,0.005
CCR2nncMC_IkB,0.003
pDC_CREB,0.003
Th1naive_STAT3,0.003
NKT_STAT5,0.003
CD61pCD41pPLT_NFkB,0.002
CD4Tem_IkB,0.002
Tregnaive_NFkB,0.002
CD8Trm_Frequency,0.002
Th1naive_IkB,0.002
CD62LnAgedNeutrophils_CREB,0.002
mDC_STAT3,0.002
NKT_Frequency,0.002
CD4Trm_IkB,0.002
CD4Tnaive_STAT3,0.002
pDC_NFkB,0.001
CCR2pcMC_NFkB,0.001
NKT_NFkB,0.001
Th1mem_IkB,0.001
CD4Trm_STAT3,0.001
MDSC_STAT3,0.001
MDSC_CREB,0.001
CD4Trm_Frequency,0.001
mDC_CREB,0.001
CD8Tem_NFkB,0.0
CCR2pcMC_CREB,0.0
CCR2nncMC_STAT3,0.0
CD8Tem_Frequency,0.0
Th1naive_STAT5,0.0
CD8Tcm_Frequency,0.0
Tregnaive_STAT3,0.0
CD4Tcm_NFkB,0.0
Tregmem_NFkB,0.0
CCR2pcMC_STAT3,0.0
CD4Tem_STAT3,0.0
Tregmem_STAT3,0.0
CD4Tcm_STAT3,0.0
CCR2pcMC_IkB,0.0
CD4Tcm_STAT5,0.0
CD4Tem_STAT5,0.0
CD8Trm_NFkB,0.0
Th1mem_NFkB,0.0
CD8Tnaive_NFkB,0.0
gdTcells_CREB,0.0
gdTcells_NFkB,0.0
gdTcells_STAT6,0.0
intMC_CREB,0.0
intMC_STAT3,0.0
CD61pCD41pPLT_IkB,0.0
CD56dimCD16pNKcells_NFkB,0.0
intMC_NFkB,0.0
CD56brightCD16nNKcells_NFkB,0.0
CD8Tcm_STAT5,0.0
CD4Tnaive_NFkB,0.0
CD4Tnaive_IkB,0.0
CD8Tcm_NFkB,0.0
CD4Tnaive_STAT5,0.0
CD62LpImmatureNeutrophils_STAT3,0.0
CD4Tem_NFkB,0.0
CD8Tnaive_STAT3,0.0
Th1mem_STAT3,0.0
CD4Tem_Frequency,0.0
