,Max Proba
artificial.144,1.0
artificial.155,1.0
artificial.57,1.0
artificial.58,1.0
artificial.40,1.0
artificial.104,1.0
artificial.50,1.0
artificial.176,1.0
artificial.191,1.0
artificial.29,1.0
artificial.51,0.995
artificial.139,0.985
artificial.173,0.978
artificial.123,0.976
artificial.11,0.975
artificial.94,0.975
artificial.10,0.971
artificial.61,0.966
artificial.127,0.959
artificial.47,0.958
artificial.116,0.944
artificial.31,0.942
artificial.56,0.932
artificial.23,0.87
artificial.170,0.839
artificial.95,0.817
artificial.141,0.747
artificial.103,0.746
artificial.79,0.734
artificial.131,0.733
artificial.2,0.731
artificial.151,0.728
artificial.124,0.714
artificial.72,0.695
artificial.52,0.636
artificial.114,0.627
artificial.21,0.612
artificial.143,0.602
artificial.9,0.581
artificial.130,0.576
artificial.167,0.548
artificial.71,0.529
artificial.100,0.522
artificial.147,0.515
artificial.98,0.486
artificial.37,0.475
artificial.105,0.463
artificial.119,0.459
artificial.54,0.452
artificial.172,0.443
artificial.193,0.434
artificial.168,0.42
artificial.134,0.379
artificial.194,0.362
artificial.42,0.358
artificial.25,0.336
artificial.89,0.318
artificial.166,0.303
artificial.20,0.285
artificial.101,0.283
artificial.108,0.267
artificial.86,0.255
artificial.43,0.254
artificial.192,0.25
artificial.83,0.25
artificial.136,0.245
artificial.111,0.236
artificial.157,0.222
artificial.133,0.214
artificial.1,0.212
artificial.184,0.207
artificial.8,0.204
artificial.78,0.166
artificial.96,0.122
artificial.66,0.122
artificial.45,0.121
artificial.27,0.119
artificial.135,0.107
artificial.165,0.099
artificial.6,0.096
artificial.183,0.092
artificial.138,0.091
artificial.60,0.086
artificial.48,0.085
artificial.14,0.083
artificial.26,0.075
artificial.171,0.074
artificial.73,0.068
artificial.180,0.063
artificial.80,0.058
artificial.63,0.057
artificial.102,0.055
artificial.81,0.051
artificial.77,0.05
artificial.137,0.05
artificial.55,0.049
artificial.22,0.048
artificial.153,0.043
artificial.15,0.041
artificial.68,0.039
artificial.16,0.036
artificial.75,0.033
artificial.41,0.033
artificial.84,0.032
artificial.146,0.031
artificial.33,0.031
artificial.169,0.023
artificial.88,0.022
artificial.178,0.021
artificial.158,0.019
artificial.39,0.019
artificial.129,0.018
artificial.34,0.018
artificial.150,0.016
artificial.160,0.014
artificial.62,0.014
artificial.161,0.011
artificial.82,0.009
artificial.5,0.008
artificial.162,0.008
artificial.106,0.005
artificial.44,0.005
artificial.174,0.005
artificial.179,0.005
artificial.109,0.005
artificial.49,0.001
artificial.189,0.0
artificial.152,0.0
artificial.3,0.0
artificial.4,0.0
artificial.175,0.0
artificial.154,0.0
artificial.18,0.0
artificial.12,0.0
artificial.156,0.0
artificial.190,0.0
artificial.17,0.0
artificial.187,0.0
artificial.188,0.0
artificial.159,0.0
artificial.186,0.0
artificial.7,0.0
artificial.19,0.0
artificial.13,0.0
artificial.185,0.0
artificial.163,0.0
artificial.164,0.0
artificial.182,0.0
artificial.181,0.0
artificial.177,0.0
artificial.70,0.0
artificial.149,0.0
artificial.148,0.0
artificial.112,0.0
artificial.46,0.0
artificial.110,0.0
artificial.107,0.0
artificial.53,0.0
artificial.59,0.0
artificial.99,0.0
artificial.97,0.0
artificial.64,0.0
artificial.93,0.0
artificial.92,0.0
artificial.91,0.0
artificial.90,0.0
artificial.65,0.0
artificial.87,0.0
artificial.85,0.0
artificial.67,0.0
artificial.76,0.0
artificial.74,0.0
artificial.113,0.0
artificial.115,0.0
artificial.117,0.0
artificial.132,0.0
artificial.145,0.0
artificial.24,0.0
artificial.142,0.0
artificial.140,0.0
artificial.28,0.0
artificial.30,0.0
artificial.32,0.0
artificial.69,0.0
artificial.35,0.0
artificial.118,0.0
artificial.128,0.0
artificial.36,0.0
artificial.126,0.0
artificial.125,0.0
artificial.38,0.0
artificial.122,0.0
artificial.121,0.0
artificial.120,0.0
artificial.195,0.0
