,Max Proba
artificial.182,1.0
artificial.70,1.0
artificial.146,1.0
artificial.67,1.0
artificial.66,1.0
artificial.147,1.0
artificial.148,1.0
artificial.63,1.0
artificial.62,1.0
artificial.151,1.0
artificial.58,1.0
artificial.57,1.0
artificial.112,1.0
artificial.153,1.0
artificial.54,1.0
artificial.53,1.0
artificial.52,1.0
artificial.51,1.0
artificial.50,1.0
artificial.154,1.0
artificial.155,1.0
artificial.69,1.0
artificial.145,1.0
artificial.157,1.0
artificial.72,1.0
artificial.109,1.0
artificial.118,1.0
artificial.103,1.0
artificial.121,1.0
artificial.122,1.0
artificial.126,1.0
artificial.127,1.0
artificial.93,1.0
artificial.129,1.0
artificial.131,1.0
artificial.89,1.0
artificial.88,1.0
artificial.135,1.0
artificial.83,1.0
artificial.136,1.0
artificial.81,1.0
artificial.137,1.0
artificial.141,1.0
artificial.143,1.0
artificial.156,1.0
artificial.113,1.0
artificial.45,1.0
artificial.165,1.0
artificial.15,1.0
artificial.17,1.0
artificial.174,1.0
artificial.173,1.0
artificial.44,1.0
artificial.180,1.0
artificial.181,1.0
artificial.20,1.0
artificial.7,1.0
artificial.6,1.0
artificial.24,1.0
artificial.169,1.0
artificial.5,1.0
artificial.166,1.0
artificial.12,1.0
artificial.36,1.0
artificial.40,1.0
artificial.4,1.0
artificial.33,1.0
artificial.34,1.0
artificial.159,1.0
artificial.160,1.0
artificial.31,1.0
artificial.37,1.0
artificial.38,1.0
artificial.3,1.0
artificial.130,0.0
artificial.178,0.0
artificial.179,0.0
artificial.114,0.0
artificial.128,0.0
artificial.119,0.0
artificial.125,0.0
artificial.124,0.0
artificial.123,0.0
artificial.115,0.0
artificial.116,0.0
artificial.177,0.0
artificial.117,0.0
artificial.120,0.0
artificial.138,0.0
artificial.176,0.0
artificial.132,0.0
artificial.158,0.0
artificial.161,0.0
artificial.162,0.0
artificial.150,0.0
artificial.149,0.0
artificial.163,0.0
artificial.164,0.0
artificial.167,0.0
artificial.168,0.0
artificial.170,0.0
artificial.171,0.0
artificial.144,0.0
artificial.172,0.0
artificial.142,0.0
artificial.140,0.0
artificial.139,0.0
artificial.175,0.0
artificial.134,0.0
artificial.133,0.0
artificial.152,0.0
artificial.1,0.0
artificial.111,0.0
artificial.46,0.0
artificial.32,0.0
artificial.35,0.0
artificial.39,0.0
artificial.41,0.0
artificial.42,0.0
artificial.43,0.0
artificial.47,0.0
artificial.29,0.0
artificial.48,0.0
artificial.49,0.0
artificial.55,0.0
artificial.56,0.0
artificial.59,0.0
artificial.60,0.0
artificial.30,0.0
artificial.28,0.0
artificial.110,0.0
artificial.16,0.0
artificial.8,0.0
artificial.9,0.0
artificial.10,0.0
artificial.11,0.0
artificial.13,0.0
artificial.14,0.0
artificial.18,0.0
artificial.27,0.0
artificial.19,0.0
artificial.21,0.0
artificial.22,0.0
artificial.23,0.0
artificial.25,0.0
artificial.26,0.0
artificial.61,0.0
artificial.64,0.0
artificial.65,0.0
artificial.100,0.0
artificial.94,0.0
artificial.95,0.0
artificial.96,0.0
artificial.97,0.0
artificial.98,0.0
artificial.99,0.0
artificial.101,0.0
artificial.68,0.0
artificial.102,0.0
artificial.104,0.0
artificial.105,0.0
artificial.106,0.0
artificial.107,0.0
artificial.108,0.0
artificial.2,0.0
artificial.91,0.0
artificial.90,0.0
artificial.87,0.0
artificial.86,0.0
artificial.85,0.0
artificial.84,0.0
artificial.82,0.0
artificial.80,0.0
artificial.79,0.0
artificial.78,0.0
artificial.77,0.0
artificial.76,0.0
artificial.75,0.0
artificial.74,0.0
artificial.73,0.0
artificial.71,0.0
artificial.92,0.0
