,Max Proba
CD8Tem_Frequency,0.569
gdTcells_NFkB,0.503
CD41hiCD61hiPLT_MAPKAPK2,0.477
CD8Trm_Frequency,0.461
Th1naive_IkB,0.442
CD41hiCD61hiPLT_p38,0.439
gdTcells_Frequency,0.438
CD62LpImmatureNeutrophils_Frequency,0.422
Tregnaive_STAT6,0.42
CD4Tem_Frequency,0.391
CD4Tem_STAT3,0.352
Th1naive_STAT5,0.349
CCR2nncMC_Frequency,0.318
CD61pCD41pPLT_S6,0.316
CCR2nncMC_S6,0.315
Th1naive_NFkB,0.311
Th1mem_ERK,0.296
CD56dimCD16pNKcells_NFkB,0.295
NKT_NFkB,0.279
Tregmem_Frequency,0.279
Th1mem_NFkB,0.273
CD8Tcm_STAT3,0.264
NKT_STAT3,0.258
pDC_MAPKAPK2,0.253
intMC_Frequency,0.249
pDC_STAT3,0.248
CD4Tcm_Frequency,0.245
Th1naive_STAT6,0.245
Tregmem_STAT3,0.223
CD56dimCD16pNKcells_Frequency,0.21
CCR2pcMC_Frequency,0.208
Th1mem_CREB,0.203
CD41hiCD61hiPLT_S6,0.189
Th1naive_CREB,0.189
CD4Trm_STAT6,0.188
CD41hiCD61hiPLT_CREB,0.181
Tregnaive_ERK,0.175
Th1naive_p38,0.166
Tregnaive_CREB,0.165
CD56brightCD16nNKcells_CREB,0.162
CD4Tnaive_Frequency,0.161
Th1mem_S6,0.158
CD61pCD41pPLT_STAT3,0.157
MDSC_Frequency,0.154
Tregnaive_STAT3,0.154
CD4Trm_NFkB,0.153
Th1mem_STAT5,0.153
Th1mem_STAT6,0.151
Th1naive_MAPKAPK2,0.148
CD62LnAgedNeutrophils_S6,0.145
Th1naive_S6,0.141
Th1naive_STAT3,0.139
CD8Tcm_CREB,0.139
Tregnaive_NFkB,0.137
CD56brightCD16nNKcells_Frequency,0.136
Bcells_Frequency,0.131
Th1naive_ERK,0.127
CD4Tcm_STAT3,0.125
Tregnaive_STAT5,0.121
intMC_ERK,0.12
CD56brightCD16nNKcells_MAPKAPK2,0.112
CD62LnAgedNeutrophils_IkB,0.112
CD4Trm_Frequency,0.109
Th1mem_p38,0.108
CD62LnAgedNeutrophils_Frequency,0.107
Th1mem_STAT3,0.107
CD56brightCD16nNKcells_NFkB,0.102
NKT_CREB,0.094
CD62LnAgedNeutrophils_CREB,0.092
CD62LpImmatureNeutrophils_STAT3,0.092
Bcells_S6,0.086
CCR2nncMC_CREB,0.085
CD8Tnaive_Frequency,0.081
Bcells_NFkB,0.08
CD4Tnaive_STAT3,0.077
mDC_S6,0.067
CD8Tnaive_CREB,0.062
CD56dimCD16pNKcells_CREB,0.06
CD61pCD41pPLT_NFkB,0.06
CD62LpImmatureNeutrophils_IkB,0.058
CCR2nncMC_STAT3,0.058
CD8Tnaive_STAT3,0.055
CD62LnAgedNeutrophils_STAT3,0.052
gdTcells_CREB,0.048
CD4Tnaive_STAT5,0.046
mDC_IkB,0.045
intMC_MAPKAPK2,0.045
CD8Tem_CREB,0.044
CD8Trm_CREB,0.043
CD8Tnaive_STAT5,0.042
mDC_Frequency,0.041
CD62LpImmatureNeutrophils_S6,0.037
CD4Tcm_STAT5,0.037
CD62LpImmatureNeutrophils_CREB,0.034
CD4Trm_STAT3,0.033
Th1mem_IkB,0.033
mDC_ERK,0.03
pDC_CREB,0.029
MDSC_ERK,0.026
CD8Tcm_Frequency,0.025
Tregnaive_IkB,0.023
CD4Trm_CREB,0.022
intMC_STAT3,0.021
MDSC_STAT3,0.021
Tregnaive_MAPKAPK2,0.019
CD61pCD41pPLT_IkB,0.019
intMC_CREB,0.015
CD4Tem_STAT5,0.013
CCR2pcMC_STAT3,0.012
CCR2pcMC_ERK,0.012
gdTcells_MAPKAPK2,0.012
pDC_NFkB,0.011
pDC_IkB,0.011
mDC_STAT3,0.01
gdTcells_IkB,0.009
Th1mem_MAPKAPK2,0.008
CD62LnAgedNeutrophils_NFkB,0.008
MDSC_CREB,0.007
intMC_S6,0.007
CD4Tem_CREB,0.006
Bcells_CREB,0.005
CD4Trm_IkB,0.004
CCR2pcMC_CREB,0.004
CD62LnAgedNeutrophils_p38,0.002
mDC_CREB,0.002
CCR2nncMC_IkB,0.002
CD8Tnaive_MAPKAPK2,0.002
MDSC_MAPKAPK2,0.001
CD8Tcm_MAPKAPK2,0.001
CD4Tcm_MAPKAPK2,0.0
CD4Tcm_IkB,0.0
CD8Trm_IkB,0.0
CD4Tcm_CREB,0.0
intMC_IkB,0.0
CD4Tem_p38,0.0
CD4Tem_IkB,0.0
intMC_NFkB,0.0
CD4Tem_MAPKAPK2,0.0
CD4Tcm_p38,0.0
Tregmem_p38,0.0
CCR2pcMC_MAPKAPK2,0.0
intMC_p38,0.0
CD4Tnaive_IkB,0.0
CCR2pcMC_NFkB,0.0
Tregmem_IkB,0.0
Tregmem_MAPKAPK2,0.0
CCR2pcMC_IkB,0.0
CCR2pcMC_S6,0.0
gdTcells_p38,0.0
Tregnaive_p38,0.0
CCR2pcMC_p38,0.0
Bcells_MAPKAPK2,0.0
Bcells_IkB,0.0
CD4Tnaive_p38,0.0
Bcells_p38,0.0
CD4Tnaive_MAPKAPK2,0.0
NKT_p38,0.0
CD8Tem_MAPKAPK2,0.0
mDC_MAPKAPK2,0.0
CD8Tem_IkB,0.0
CD8Tnaive_p38,0.0
MDSC_p38,0.0
CD8Tem_p38,0.0
MDSC_S6,0.0
MDSC_IkB,0.0
MDSC_NFkB,0.0
CD8Tcm_IkB,0.0
CD8Tcm_p38,0.0
CD62LnAgedNeutrophils_MAPKAPK2,0.0
CD4Trm_p38,0.0
NKT_IkB,0.0
mDC_p38,0.0
NKT_MAPKAPK2,0.0
NKT_Frequency,0.0
CD8Tnaive_IkB,0.0
CD8Trm_p38,0.0
CD56dimCD16pNKcells_IkB,0.0
