,Max Proba
CD62LnAgedNeutrophils_S6,1.0
CD4Tnaive_Frequency,0.997
CD4Trm_S6,0.961
CCR2pcMC_S6,0.931
CCR2nncMC_S6,0.923
MDSC_S6,0.912
intMC_S6,0.907
gdTcells_Frequency,0.855
CCR2pcMC_Frequency,0.833
CD62LpImmatureNeutrophils_S6,0.832
mDC_S6,0.83
pDC_STAT5,0.766
Th1mem_STAT6,0.763
Bcells_Frequency,0.727
pDC_S6,0.691
Th1naive_S6,0.613
CD4Trm_STAT6,0.596
CCR2nncMC_Frequency,0.539
CD61pCD41pPLT_STAT3,0.527
Tregnaive_STAT6,0.515
Tregmem_STAT5,0.503
Tregnaive_STAT5,0.503
Th1naive_ERK,0.48
CD41hiCD61hiPLT_p38,0.466
gdTcells_IkB,0.459
CD62LpImmatureNeutrophils_CREB,0.437
CD56brightCD16nNKcells_Frequency,0.405
CCR2nncMC_CREB,0.389
CD62LpImmatureNeutrophils_Frequency,0.389
Th1naive_NFkB,0.386
CD4Trm_NFkB,0.378
CD4Trm_Frequency,0.359
CD61pCD41pPLT_CREB,0.353
CCR2nncMC_NFkB,0.333
CCR2nncMC_MAPKAPK2,0.291
CD62LnAgedNeutrophils_MAPKAPK2,0.286
pDC_MAPKAPK2,0.264
Tregnaive_S6,0.262
intMC_Frequency,0.251
CD4Trm_STAT5,0.205
CD8Tnaive_Frequency,0.187
Th1mem_ERK,0.14
CD4Tcm_Frequency,0.137
mDC_IkB,0.131
CD62LnAgedNeutrophils_Frequency,0.114
CD62LnAgedNeutrophils_CREB,0.107
CD62LnAgedNeutrophils_p38,0.104
CCR2pcMC_NFkB,0.093
Th1naive_STAT6,0.092
Tregnaive_IkB,0.091
CD62LpImmatureNeutrophils_IkB,0.073
NKT_IkB,0.067
NKT_Frequency,0.062
Th1mem_STAT5,0.062
CD8Tcm_Frequency,0.054
mDC_Frequency,0.048
Tregmem_Frequency,0.044
pDC_IkB,0.03
NKT_STAT6,0.028
Bcells_NFkB,0.021
CD61pCD41pPLT_S6,0.02
NKT_STAT5,0.018
CD4Tcm_IkB,0.011
Th1naive_STAT3,0.01
CD8Trm_Frequency,0.009
CD8Tnaive_STAT5,0.007
CD8Tnaive_IkB,0.006
CCR2pcMC_IkB,0.006
mDC_CREB,0.004
CD56brightCD16nNKcells_IkB,0.003
pDC_STAT3,0.002
Th1mem_NFkB,0.0
Th1mem_IkB,0.0
Th1mem_STAT3,0.0
Th1mem_S6,0.0
CD4Tem_STAT5,0.0
CD4Tem_IkB,0.0
Th1mem_CREB,0.0
CD4Tem_NFkB,0.0
pDC_NFkB,0.0
CD4Tem_STAT6,0.0
CD4Tem_Frequency,0.0
CD4Tem_STAT3,0.0
CD4Tcm_NFkB,0.0
Th1naive_CREB,0.0
CCR2pcMC_STAT3,0.0
Tregnaive_ERK,0.0
Tregnaive_NFkB,0.0
CCR2nncMC_STAT3,0.0
CCR2nncMC_IkB,0.0
Tregnaive_STAT3,0.0
CCR2pcMC_CREB,0.0
Tregmem_NFkB,0.0
Th1naive_STAT5,0.0
Tregmem_STAT3,0.0
Th1naive_MAPKAPK2,0.0
CD4Tcm_STAT5,0.0
CD4Tcm_STAT3,0.0
Th1naive_IkB,0.0
pDC_CREB,0.0
CD4Tnaive_STAT5,0.0
CD62LpImmatureNeutrophils_STAT3,0.0
CD4Tnaive_STAT3,0.0
CD8Tnaive_STAT3,0.0
gdTcells_STAT6,0.0
gdTcells_NFkB,0.0
gdTcells_CREB,0.0
CD8Trm_NFkB,0.0
CD61pCD41pPLT_IkB,0.0
CD8Tnaive_NFkB,0.0
CD61pCD41pPLT_NFkB,0.0
CD4Tnaive_IkB,0.0
CD8Tem_Frequency,0.0
CD8Tem_NFkB,0.0
CD62LnAgedNeutrophils_STAT3,0.0
CD8Tcm_NFkB,0.0
CD8Tcm_STAT3,0.0
CD8Tcm_STAT5,0.0
CD56dimCD16pNKcells_Frequency,0.0
intMC_CREB,0.0
intMC_STAT3,0.0
CD56dimCD16pNKcells_NFkB,0.0
intMC_IkB,0.0
intMC_NFkB,0.0
CD56dimCD16pNKcells_CREB,0.0
mDC_STAT3,0.0
CD56brightCD16nNKcells_NFkB,0.0
CD4Trm_IkB,0.0
MDSC_CREB,0.0
MDSC_STAT3,0.0
CD4Trm_STAT3,0.0
MDSC_IkB,0.0
MDSC_Frequency,0.0
CD4Tnaive_NFkB,0.0
CD62LnAgedNeutrophils_IkB,0.0
NKT_NFkB,0.0
