,Max Proba
artificial.19,1.0
artificial.44,1.0
artificial.4,1.0
artificial.60,1.0
artificial.151,1.0
artificial.188,1.0
artificial.8,1.0
artificial.91,1.0
artificial.31,1.0
artificial.25,1.0
artificial.183,1.0
artificial.21,1.0
artificial.12,0.994
artificial.55,0.962
artificial.9,0.934
artificial.68,0.92
artificial.169,0.918
artificial.175,0.918
artificial.52,0.917
artificial.80,0.907
artificial.173,0.891
artificial.47,0.888
artificial.30,0.879
artificial.112,0.866
artificial.40,0.846
artificial.82,0.84
artificial.72,0.832
artificial.157,0.831
artificial.163,0.826
artificial.189,0.802
artificial.180,0.793
artificial.34,0.763
artificial.185,0.759
artificial.53,0.747
artificial.13,0.743
artificial.5,0.735
artificial.92,0.73
artificial.27,0.697
artificial.120,0.687
artificial.24,0.67
artificial.149,0.643
artificial.184,0.621
artificial.64,0.608
artificial.108,0.594
artificial.54,0.522
artificial.33,0.508
artificial.102,0.486
artificial.118,0.47
artificial.96,0.452
artificial.131,0.45
artificial.178,0.427
artificial.81,0.426
artificial.138,0.403
artificial.93,0.39
artificial.135,0.365
artificial.35,0.352
artificial.50,0.326
artificial.32,0.326
artificial.167,0.313
artificial.74,0.311
artificial.195,0.311
artificial.161,0.245
artificial.143,0.226
artificial.124,0.22
artificial.76,0.201
artificial.194,0.181
artificial.176,0.175
artificial.99,0.171
artificial.98,0.159
artificial.116,0.14
artificial.158,0.138
artificial.171,0.131
artificial.133,0.128
artificial.7,0.126
artificial.168,0.12
artificial.79,0.115
artificial.128,0.114
artificial.110,0.114
artificial.45,0.108
artificial.117,0.101
artificial.83,0.1
artificial.144,0.092
artificial.94,0.092
artificial.114,0.09
artificial.86,0.087
artificial.65,0.084
artificial.90,0.083
artificial.1,0.07
artificial.119,0.068
artificial.73,0.065
artificial.104,0.062
artificial.14,0.062
artificial.105,0.061
artificial.66,0.058
artificial.146,0.057
artificial.10,0.057
artificial.177,0.053
artificial.170,0.053
artificial.89,0.041
artificial.41,0.035
artificial.111,0.032
artificial.101,0.028
artificial.71,0.026
artificial.97,0.024
artificial.113,0.021
artificial.137,0.021
artificial.153,0.02
artificial.100,0.018
artificial.172,0.013
artificial.109,0.013
artificial.3,0.012
artificial.48,0.012
artificial.103,0.01
artificial.16,0.008
artificial.106,0.007
artificial.38,0.006
artificial.181,0.005
artificial.132,0.005
artificial.123,0.005
artificial.156,0.005
artificial.37,0.003
artificial.155,0.003
artificial.84,0.003
artificial.59,0.003
artificial.17,0.001
artificial.165,0.0
artificial.164,0.0
artificial.162,0.0
artificial.26,0.0
artificial.160,0.0
artificial.28,0.0
artificial.193,0.0
artificial.159,0.0
artificial.75,0.0
artificial.29,0.0
artificial.166,0.0
artificial.186,0.0
artificial.23,0.0
artificial.192,0.0
artificial.67,0.0
artificial.191,0.0
artificial.190,0.0
artificial.6,0.0
artificial.20,0.0
artificial.174,0.0
artificial.18,0.0
artificial.69,0.0
artificial.179,0.0
artificial.15,0.0
artificial.182,0.0
artificial.187,0.0
artificial.11,0.0
artificial.22,0.0
artificial.142,0.0
artificial.154,0.0
artificial.43,0.0
artificial.121,0.0
artificial.78,0.0
artificial.46,0.0
artificial.63,0.0
artificial.62,0.0
artificial.115,0.0
artificial.85,0.0
artificial.49,0.0
artificial.107,0.0
artificial.51,0.0
artificial.56,0.0
artificial.2,0.0
artificial.57,0.0
artificial.95,0.0
artificial.87,0.0
artificial.58,0.0
artificial.61,0.0
artificial.122,0.0
artificial.125,0.0
artificial.152,0.0
artificial.126,0.0
artificial.36,0.0
artificial.150,0.0
artificial.148,0.0
artificial.147,0.0
artificial.145,0.0
artificial.88,0.0
artificial.141,0.0
artificial.140,0.0
artificial.139,0.0
artificial.39,0.0
artificial.136,0.0
artificial.134,0.0
artificial.42,0.0
artificial.130,0.0
artificial.129,0.0
artificial.77,0.0
artificial.127,0.0
artificial.70,0.0
