,Fold selected features,Fold nb of features
Fold 0,[],0
Fold 1,"['p38', 'STAT3', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 2,"['STAT3', 'Frequency']",2
Fold 3,[],0
Fold 4,"['STAT3', 'Frequency']",2
Fold 5,"['STAT3', 'Frequency']",2
Fold 6,['STAT3'],1
Fold 7,[],0
Fold 8,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 9,"['STAT3', 'Frequency']",2
Fold 10,['STAT3'],1
Fold 11,[],0
Fold 12,"['STAT3', 'Frequency']",2
Fold 13,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 14,[],0
Fold 15,"['STAT3', 'Frequency']",2
Fold 16,[],0
Fold 17,"['STAT3', 'Frequency']",2
Fold 18,"['STAT3', 'Frequency']",2
Fold 19,"['STAT3', 'Frequency']",2
Fold 20,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 21,"['STAT3', 'Frequency']",2
Fold 22,"['STAT3', 'Frequency']",2
Fold 23,"['STAT3', 'Frequency']",2
Fold 24,[],0
Fold 25,"['STAT3', 'Frequency']",2
Fold 26,"['STAT3', 'Frequency']",2
Fold 27,[],0
Fold 28,[],0
Fold 29,"['STAT3', 'Frequency']",2
Fold 30,[],0
Fold 31,"['STAT3', 'Frequency']",2
Fold 32,['STAT3'],1
Fold 33,"['STAT3', 'Frequency']",2
Fold 34,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 35,"['STAT3', 'Frequency']",2
Fold 36,"['p38', 'STAT3', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 37,['STAT3'],1
Fold 38,[],0
Fold 39,[],0
Fold 40,"['STAT3', 'Frequency']",2
Fold 41,[],0
Fold 42,[],0
Fold 43,[],0
Fold 44,"['STAT3', 'Frequency']",2
Fold 45,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 46,"['STAT3', 'Frequency']",2
Fold 47,"['STAT3', 'Frequency']",2
Fold 48,[],0
Fold 49,"['STAT3', 'Frequency']",2
Fold 50,"['STAT3', 'Frequency']",2
Fold 51,"['STAT3', 'Frequency']",2
Fold 52,[],0
Fold 53,['STAT3'],1
Fold 54,['STAT3'],1
Fold 55,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 56,[],0
Fold 57,"['p38', 'STAT3', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 58,"['STAT3', 'Frequency']",2
Fold 59,"['STAT3', 'Frequency']",2
Fold 60,[],0
Fold 61,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 62,"['STAT3', 'Frequency']",2
Fold 63,"['STAT3', 'Frequency']",2
Fold 64,"['p38', 'STAT3', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 65,['STAT3'],1
Fold 66,[],0
Fold 67,"['STAT3', 'Frequency']",2
Fold 68,"['STAT3', 'Frequency']",2
Fold 69,"['STAT3', 'Frequency']",2
Fold 70,"['STAT3', 'Frequency']",2
Fold 71,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 72,"['STAT3', 'Frequency']",2
Fold 73,[],0
Fold 74,[],0
Fold 75,[],0
Fold 76,"['STAT3', 'Frequency']",2
Fold 77,['STAT3'],1
Fold 78,[],0
Fold 79,"['STAT3', 'Frequency']",2
Fold 80,"['STAT3', 'Frequency']",2
Fold 81,[],0
Fold 82,"['STAT3', 'Frequency']",2
Fold 83,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 84,[],0
Fold 85,"['STAT3', 'Frequency']",2
Fold 86,"['STAT3', 'Frequency']",2
Fold 87,"['STAT3', 'Frequency']",2
Fold 88,[],0
Fold 89,[],0
Fold 90,"['p38', 'STAT3', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 91,"['STAT3', 'Frequency']",2
Fold 92,['STAT3'],1
Fold 93,"['STAT3', 'Frequency']",2
Fold 94,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 95,[],0
Fold 96,"['STAT3', 'Frequency']",2
Fold 97,"['STAT3', 'Frequency']",2
Fold 98,['STAT3'],1
Fold 99,[],0
Fold 100,[],0
Fold 101,[],0
Fold 102,[],0
Fold 103,"['STAT3', 'Frequency']",2
Fold 104,"['STAT3', 'Frequency']",2
Fold 105,"['STAT3', 'Frequency']",2
Fold 106,"['STAT3', 'Frequency']",2
Fold 107,"['STAT3', 'Frequency']",2
Fold 108,['STAT3'],1
Fold 109,[],0
Fold 110,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 111,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 112,['STAT3'],1
Fold 113,"['p38', 'STAT3', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 114,[],0
Fold 115,"['STAT3', 'Frequency']",2
Fold 116,"['STAT3', 'Frequency']",2
Fold 117,[],0
Fold 118,"['STAT3', 'Frequency']",2
Fold 119,"['STAT3', 'Frequency']",2
Fold 120,['STAT3'],1
Fold 121,"['STAT3', 'Frequency']",2
Fold 122,"['STAT3', 'Frequency']",2
Fold 123,"['STAT3', 'Frequency']",2
Fold 124,"['STAT3', 'Frequency']",2
Fold 125,"['STAT3', 'Frequency']",2
Fold 126,[],0
Fold 127,[],0
Fold 128,[],0
Fold 129,"['STAT3', 'Frequency']",2
Fold 130,"['STAT3', 'Frequency']",2
Fold 131,"['p38', 'STAT3', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 132,[],0
Fold 133,[],0
Fold 134,['STAT3'],1
Fold 135,[],0
Fold 136,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 137,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 138,"['STAT3', 'Frequency']",2
Fold 139,"['STAT3', 'Frequency']",2
Fold 140,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 141,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 142,[],0
Fold 143,"['STAT3', 'Frequency']",2
Fold 144,[],0
Fold 145,"['STAT3', 'Frequency']",2
Fold 146,[],0
Fold 147,['STAT3'],1
Fold 148,"['STAT3', 'Frequency']",2
Fold 149,"['STAT3', 'Frequency']",2
Fold 150,"['STAT3', 'Frequency']",2
Fold 151,"['STAT3', 'Frequency']",2
Fold 152,"['STAT3', 'Frequency']",2
Fold 153,"['STAT3', 'Frequency']",2
Fold 154,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 155,[],0
Fold 156,[],0
Fold 157,['STAT3'],1
Fold 158,"['STAT3', 'Frequency']",2
Fold 159,[],0
Fold 160,"['p38', 'STAT3', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 161,['STAT3'],1
Fold 162,[],0
Fold 163,['STAT3'],1
Fold 164,[],0
Fold 165,"['STAT3', 'Frequency']",2
Fold 166,[],0
Fold 167,"['STAT3', 'Frequency']",2
Fold 168,[],0
Fold 169,"['STAT3', 'Frequency']",2
Fold 170,[],0
Fold 171,"['STAT3', 'Frequency']",2
Fold 172,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 173,"['STAT3', 'Frequency']",2
Fold 174,[],0
Fold 175,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 176,"['STAT3', 'Frequency']",2
Fold 177,"['STAT3', 'Frequency']",2
Fold 178,"['STAT3', 'Frequency']",2
Fold 179,"['STAT3', 'Frequency']",2
Fold 180,[],0
Fold 181,"['STAT3', 'Frequency']",2
Fold 182,[],0
Fold 183,"['STAT3', 'Frequency']",2
Fold 184,[],0
Fold 185,"['STAT3', 'Frequency']",2
Fold 186,"['STAT3', 'Frequency']",2
Fold 187,[],0
Fold 188,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 189,[],0
Fold 190,"['STAT3', 'Frequency']",2
Fold 191,"['p38', 'STAT3', 'IkB', 'MAPKAPK2', 'Frequency']",5
Fold 192,"['STAT3', 'Frequency']",2
Fold 193,"['STAT3', 'Frequency']",2
Fold 194,[],0
Fold 195,['STAT3'],1
Fold 196,"['STAT3', 'Frequency']",2
Fold 197,"['STAT3', 'Frequency']",2
Fold 198,"['p38', 'STAT3', 'MAPKAPK2', 'Frequency']",4
Fold 199,['STAT3'],1
