,Fold selected features,Fold nb of features
Fold 0,[],0
Fold 1,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 2,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 3,[],0
Fold 4,['Frequency'],1
Fold 5,"['CREB', 'Frequency']",2
Fold 6,['Frequency'],1
Fold 7,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 8,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 9,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 10,['Frequency'],1
Fold 11,[],0
Fold 12,[],0
Fold 13,['Frequency'],1
Fold 14,"['CREB', 'Frequency']",2
Fold 15,[],0
Fold 16,['Frequency'],1
Fold 17,[],0
Fold 18,['Frequency'],1
Fold 19,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 20,['Frequency'],1
Fold 21,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 22,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 23,"['CREB', 'Frequency']",2
Fold 24,"['CREB', 'Frequency']",2
Fold 25,[],0
Fold 26,['Frequency'],1
Fold 27,['Frequency'],1
Fold 28,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 29,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 30,[],0
Fold 31,[],0
Fold 32,['Frequency'],1
Fold 33,[],0
Fold 34,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 35,['Frequency'],1
Fold 36,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 37,['Frequency'],1
Fold 38,[],0
Fold 39,[],0
Fold 40,[],0
Fold 41,['Frequency'],1
Fold 42,[],0
Fold 43,[],0
Fold 44,"['CREB', 'Frequency']",2
Fold 45,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 46,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 47,[],0
Fold 48,"['CREB', 'Frequency']",2
Fold 49,['Frequency'],1
Fold 50,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 51,[],0
Fold 52,[],0
Fold 53,['Frequency'],1
Fold 54,['Frequency'],1
Fold 55,['Frequency'],1
Fold 56,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 57,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 58,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 59,['Frequency'],1
Fold 60,[],0
Fold 61,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 62,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 63,['Frequency'],1
Fold 64,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 65,['Frequency'],1
Fold 66,"['CREB', 'Frequency']",2
Fold 67,[],0
Fold 68,[],0
Fold 69,[],0
Fold 70,"['CREB', 'Frequency']",2
Fold 71,['Frequency'],1
Fold 72,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 73,['Frequency'],1
Fold 74,[],0
Fold 75,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 76,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 77,['Frequency'],1
Fold 78,[],0
Fold 79,['Frequency'],1
Fold 80,"['CREB', 'Frequency']",2
Fold 81,[],0
Fold 82,[],0
Fold 83,['Frequency'],1
Fold 84,[],0
Fold 85,[],0
Fold 86,[],0
Fold 87,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 88,[],0
Fold 89,"['CREB', 'Frequency']",2
Fold 90,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 91,['Frequency'],1
Fold 92,['Frequency'],1
Fold 93,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 94,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 95,['Frequency'],1
Fold 96,['Frequency'],1
Fold 97,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 98,['Frequency'],1
Fold 99,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 100,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 101,[],0
Fold 102,"['CREB', 'Frequency']",2
Fold 103,"['CREB', 'Frequency']",2
Fold 104,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 105,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 106,[],0
Fold 107,[],0
Fold 108,['Frequency'],1
Fold 109,[],0
Fold 110,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 111,['Frequency'],1
Fold 112,['Frequency'],1
Fold 113,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 114,['Frequency'],1
Fold 115,['Frequency'],1
Fold 116,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 117,[],0
Fold 118,[],0
Fold 119,['Frequency'],1
Fold 120,['Frequency'],1
Fold 121,[],0
Fold 122,[],0
Fold 123,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 124,[],0
Fold 125,"['CREB', 'Frequency']",2
Fold 126,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 127,[],0
Fold 128,"['CREB', 'Frequency']",2
Fold 129,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 130,['Frequency'],1
Fold 131,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 132,[],0
Fold 133,[],0
Fold 134,['Frequency'],1
Fold 135,['Frequency'],1
Fold 136,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 137,['Frequency'],1
Fold 138,['Frequency'],1
Fold 139,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 140,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 141,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 142,[],0
Fold 143,"['CREB', 'Frequency']",2
Fold 144,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 145,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 146,['Frequency'],1
Fold 147,['Frequency'],1
Fold 148,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 149,['Frequency'],1
Fold 150,[],0
Fold 151,[],0
Fold 152,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 153,[],0
Fold 154,['Frequency'],1
Fold 155,[],0
Fold 156,[],0
Fold 157,['Frequency'],1
Fold 158,['Frequency'],1
Fold 159,"['CREB', 'Frequency']",2
Fold 160,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 161,['Frequency'],1
Fold 162,['Frequency'],1
Fold 163,['Frequency'],1
Fold 164,[],0
Fold 165,[],0
Fold 166,"['CREB', 'Frequency']",2
Fold 167,['Frequency'],1
Fold 168,[],0
Fold 169,"['CREB', 'Frequency']",2
Fold 170,[],0
Fold 171,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 172,['Frequency'],1
Fold 173,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 174,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 175,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 176,[],0
Fold 177,['Frequency'],1
Fold 178,[],0
Fold 179,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 180,"['CREB', 'Frequency']",2
Fold 181,[],0
Fold 182,[],0
Fold 183,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 184,['Frequency'],1
Fold 185,"['CREB', 'Frequency']",2
Fold 186,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 187,[],0
Fold 188,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 189,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 190,[],0
Fold 191,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 192,['Frequency'],1
Fold 193,['Frequency'],1
Fold 194,[],0
Fold 195,['Frequency'],1
Fold 196,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 197,[],0
Fold 198,['Frequency'],1
Fold 199,['Frequency'],1
