,Max Proba
CCR2pcMC_Frequency,0.887
CD62LnAgedNeutrophils_S6,0.771
CD4Tem_Frequency,0.747
CD62LpImmatureNeutrophils_S6,0.705
Th1naive_S6,0.695
gdTcells_Frequency,0.663
CCR2nncMC_Frequency,0.638
CD4Tnaive_Frequency,0.505
MDSC_Frequency,0.447
CD41hiCD61hiPLT_S6,0.306
CD62LpImmatureNeutrophils_CREB,0.228
CD4Trm_Frequency,0.187
CD4Tem_STAT3,0.187
CD56dimCD16pNKcells_Frequency,0.163
Th1naive_CREB,0.129
intMC_Frequency,0.093
CD62LpImmatureNeutrophils_Frequency,0.092
CD62LnAgedNeutrophils_CREB,0.03
CD8Tnaive_STAT3,0.024
mDC_CREB,0.017
CCR2pcMC_MAPKAPK2,0.016
CD8Tcm_STAT3,0.008
mDC_STAT3,0.008
CCR2pcMC_STAT3,0.007
CD8Tcm_Frequency,0.004
NKT_Frequency,0.0
Bcells_Frequency,0.0
pDC_STAT3,0.0
Th1mem_STAT3,0.0
MDSC_p38,0.0
Th1naive_STAT3,0.0
Tregmem_STAT3,0.0
Tregmem_Frequency,0.0
MDSC_STAT3,0.0
CD8Tem_Frequency,0.0
mDC_Frequency,0.0
mDC_p38,0.0
intMC_p38,0.0
CD8Trm_Frequency,0.0
CD8Tnaive_Frequency,0.0
CD4Trm_STAT3,0.0
CD4Tnaive_STAT3,0.0
CD4Tcm_Frequency,0.0
CD4Tcm_STAT3,0.0
CCR2pcMC_p38,0.0
Tregnaive_STAT3,0.0
