,Max Proba
artificial.134,0.989
artificial.80,0.93
artificial.6,0.917
artificial.43,0.829
artificial.176,0.784
artificial.38,0.773
artificial.181,0.512
artificial.16,0.491
artificial.125,0.391
artificial.33,0.386
artificial.9,0.374
artificial.56,0.355
artificial.169,0.327
artificial.82,0.323
artificial.44,0.29
artificial.68,0.265
artificial.1,0.258
artificial.10,0.246
artificial.119,0.236
artificial.37,0.223
artificial.32,0.215
artificial.182,0.148
artificial.88,0.146
artificial.129,0.136
artificial.105,0.115
artificial.98,0.105
artificial.151,0.101
artificial.137,0.096
artificial.135,0.085
artificial.41,0.077
artificial.142,0.074
artificial.69,0.065
artificial.70,0.061
artificial.109,0.06
artificial.117,0.058
artificial.152,0.057
artificial.72,0.053
artificial.171,0.053
artificial.79,0.052
artificial.95,0.047
artificial.34,0.043
artificial.64,0.041
artificial.35,0.037
artificial.102,0.034
artificial.91,0.034
artificial.15,0.029
artificial.73,0.028
artificial.57,0.025
artificial.120,0.022
artificial.99,0.022
artificial.122,0.022
artificial.123,0.019
artificial.153,0.015
artificial.128,0.013
artificial.78,0.013
artificial.101,0.011
artificial.148,0.01
artificial.49,0.009
artificial.155,0.009
artificial.121,0.009
artificial.50,0.009
artificial.8,0.007
artificial.26,0.007
artificial.133,0.006
artificial.158,0.006
artificial.54,0.005
artificial.2,0.004
artificial.104,0.004
artificial.22,0.004
artificial.20,0.003
artificial.154,0.003
artificial.3,0.002
artificial.21,0.001
artificial.7,0.0
artificial.178,0.0
artificial.136,0.0
artificial.175,0.0
artificial.131,0.0
artificial.132,0.0
artificial.179,0.0
artificial.4,0.0
artificial.130,0.0
artificial.180,0.0
artificial.127,0.0
artificial.126,0.0
artificial.124,0.0
artificial.177,0.0
artificial.146,0.0
artificial.138,0.0
artificial.161,0.0
artificial.174,0.0
artificial.173,0.0
artificial.172,0.0
artificial.170,0.0
artificial.5,0.0
artificial.168,0.0
artificial.167,0.0
artificial.166,0.0
artificial.165,0.0
artificial.164,0.0
artificial.163,0.0
artificial.162,0.0
artificial.160,0.0
artificial.139,0.0
artificial.159,0.0
artificial.157,0.0
artificial.156,0.0
artificial.11,0.0
artificial.150,0.0
artificial.149,0.0
artificial.147,0.0
artificial.145,0.0
artificial.144,0.0
artificial.143,0.0
artificial.141,0.0
artificial.140,0.0
artificial.23,0.0
artificial.103,0.0
artificial.118,0.0
artificial.116,0.0
artificial.66,0.0
artificial.65,0.0
artificial.63,0.0
artificial.62,0.0
artificial.61,0.0
artificial.60,0.0
artificial.59,0.0
artificial.58,0.0
artificial.55,0.0
artificial.53,0.0
artificial.52,0.0
artificial.51,0.0
artificial.48,0.0
artificial.47,0.0
artificial.46,0.0
artificial.45,0.0
artificial.17,0.0
artificial.18,0.0
artificial.42,0.0
artificial.40,0.0
artificial.39,0.0
artificial.19,0.0
artificial.36,0.0
artificial.31,0.0
artificial.30,0.0
artificial.29,0.0
artificial.28,0.0
artificial.27,0.0
artificial.25,0.0
artificial.67,0.0
artificial.14,0.0
artificial.71,0.0
artificial.94,0.0
artificial.115,0.0
artificial.114,0.0
artificial.113,0.0
artificial.112,0.0
artificial.111,0.0
artificial.110,0.0
artificial.108,0.0
artificial.107,0.0
artificial.106,0.0
artificial.24,0.0
artificial.100,0.0
artificial.97,0.0
artificial.96,0.0
artificial.93,0.0
artificial.74,0.0
artificial.90,0.0
artificial.89,0.0
artificial.87,0.0
artificial.86,0.0
artificial.85,0.0
artificial.84,0.0
artificial.83,0.0
artificial.12,0.0
artificial.81,0.0
artificial.13,0.0
artificial.77,0.0
artificial.76,0.0
artificial.75,0.0
artificial.92,0.0
