,Max Proba
mDC_S6,1.0
intMC_S6,1.0
MDSC_S6,1.0
CCR2nncMC_S6,1.0
Th1naive_S6,0.994
CD41hiCD61hiPLT_MAPKAPK2,0.993
CD62LnAgedNeutrophils_S6,0.982
CCR2nncMC_NFkB,0.98
CCR2pcMC_S6,0.963
CD62LpImmatureNeutrophils_IkB,0.926
Th1mem_S6,0.916
CD41hiCD61hiPLT_p38,0.874
CD62LpImmatureNeutrophils_S6,0.864
CD61pCD41pPLT_STAT3,0.791
CD4Trm_STAT6,0.712
pDC_S6,0.688
pDC_IkB,0.644
mDC_NFkB,0.63
CD56brightCD16nNKcells_Frequency,0.613
gdTcells_Frequency,0.59
CD4Tnaive_Frequency,0.583
CD61pCD41pPLT_CREB,0.554
Th1mem_ERK,0.53
mDC_MAPKAPK2,0.511
intMC_CREB,0.49
CD4Tem_Frequency,0.479
CD62LpImmatureNeutrophils_CREB,0.47
CCR2nncMC_Frequency,0.457
CCR2pcMC_NFkB,0.45
CD56dimCD16pNKcells_Frequency,0.407
CD8Tcm_CREB,0.397
Th1mem_IkB,0.376
CD62LnAgedNeutrophils_IkB,0.321
CCR2pcMC_Frequency,0.305
Th1mem_STAT5,0.279
CCR2nncMC_CREB,0.225
CD62LnAgedNeutrophils_MAPKAPK2,0.225
CCR2pcMC_CREB,0.193
CD62LnAgedNeutrophils_STAT3,0.177
mDC_Frequency,0.154
Tregnaive_Frequency,0.154
CD8Tnaive_STAT5,0.139
gdTcells_NFkB,0.114
CD4Tem_STAT3,0.109
CD56dimCD16pNKcells_CREB,0.107
NKT_CREB,0.103
CD62LpImmatureNeutrophils_Frequency,0.098
CD8Trm_CREB,0.088
CD8Tnaive_NFkB,0.088
CD4Tnaive_STAT5,0.084
Tregnaive_STAT5,0.082
CD61pCD41pPLT_S6,0.078
CCR2pcMC_MAPKAPK2,0.077
CD41hiCD61hiPLT_S6,0.071
CD8Tcm_STAT3,0.066
intMC_Frequency,0.062
CD62LnAgedNeutrophils_p38,0.059
CD4Trm_IkB,0.055
CCR2pcMC_ERK,0.049
CD4Tem_STAT5,0.047
Th1mem_NFkB,0.046
MDSC_ERK,0.043
CCR2nncMC_STAT3,0.039
CD62LpImmatureNeutrophils_STAT3,0.03
CD4Tcm_IkB,0.026
CD8Tnaive_STAT3,0.024
Bcells_NFkB,0.017
gdTcells_CREB,0.016
mDC_STAT3,0.015
Th1naive_IkB,0.012
MDSC_MAPKAPK2,0.009
CD56dimCD16pNKcells_NFkB,0.008
CD8Trm_Frequency,0.007
MDSC_Frequency,0.006
Th1naive_CREB,0.005
mDC_ERK,0.005
NKT_Frequency,0.004
Tregmem_STAT3,0.0
Th1mem_p38,0.0
Tregnaive_STAT3,0.0
MDSC_IkB,0.0
MDSC_STAT3,0.0
MDSC_p38,0.0
MDSC_CREB,0.0
Th1naive_NFkB,0.0
Th1mem_STAT6,0.0
Th1naive_MAPKAPK2,0.0
Tregnaive_ERK,0.0
NKT_IkB,0.0
Th1naive_STAT6,0.0
Th1mem_CREB,0.0
Th1naive_STAT3,0.0
Tregnaive_NFkB,0.0
Th1mem_STAT3,0.0
Th1naive_ERK,0.0
Th1naive_p38,0.0
Tregmem_Frequency,0.0
Tregmem_NFkB,0.0
NKT_NFkB,0.0
pDC_Frequency,0.0
Th1mem_MAPKAPK2,0.0
Th1naive_STAT5,0.0
pDC_STAT3,0.0
pDC_CREB,0.0
NKT_STAT6,0.0
Tregnaive_IkB,0.0
Bcells_CREB,0.0
mDC_IkB,0.0
CD4Tem_NFkB,0.0
CD56brightCD16nNKcells_IkB,0.0
CD56brightCD16nNKcells_CREB,0.0
CD4Trm_Frequency,0.0
CD4Trm_NFkB,0.0
CD4Trm_STAT3,0.0
CD4Trm_STAT5,0.0
CD4Trm_CREB,0.0
CD4Tnaive_NFkB,0.0
CD4Tnaive_IkB,0.0
CD4Tnaive_STAT3,0.0
CD4Tem_IkB,0.0
CD61pCD41pPLT_IkB,0.0
CD4Tem_CREB,0.0
CD4Tcm_Frequency,0.0
CD4Tcm_NFkB,0.0
CD4Tcm_STAT3,0.0
CD4Tcm_STAT5,0.0
CD4Tcm_CREB,0.0
CCR2pcMC_IkB,0.0
CCR2pcMC_STAT3,0.0
CCR2pcMC_p38,0.0
Bcells_Frequency,0.0
CD56brightCD16nNKcells_NFkB,0.0
CD61pCD41pPLT_NFkB,0.0
mDC_p38,0.0
CD8Tnaive_Frequency,0.0
mDC_CREB,0.0
intMC_MAPKAPK2,0.0
intMC_ERK,0.0
intMC_NFkB,0.0
intMC_IkB,0.0
intMC_STAT3,0.0
intMC_p38,0.0
gdTcells_STAT6,0.0
gdTcells_IkB,0.0
CD8Trm_NFkB,0.0
CD8Tnaive_IkB,0.0
CD62LnAgedNeutrophils_CREB,0.0
Bcells_S6,0.0
CD8Tem_Frequency,0.0
CD8Tem_NFkB,0.0
CD8Tem_IkB,0.0
CD8Tem_CREB,0.0
CD8Tcm_Frequency,0.0
CD8Tcm_NFkB,0.0
CD8Tcm_IkB,0.0
CD8Tcm_STAT5,0.0
CD62LnAgedNeutrophils_Frequency,0.0
CD8Tnaive_CREB,0.0
