,Fold selected features,Fold nb of features
Fold 0,['S6'],1
Fold 1,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 2,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 3,['S6'],1
Fold 4,"['CREB', 'NFkB', 'S6']",3
Fold 5,['S6'],1
Fold 6,"['MAPKAPK2', 'S6', 'Frequency']",3
Fold 7,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 8,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 9,['S6'],1
Fold 10,"['MAPKAPK2', 'S6', 'Frequency']",3
Fold 11,"['MAPKAPK2', 'S6']",2
Fold 12,['S6'],1
Fold 13,"['CREB', 'MAPKAPK2', 'S6', 'Frequency']",4
Fold 14,['S6'],1
Fold 15,"['MAPKAPK2', 'S6']",2
Fold 16,['S6'],1
Fold 17,['S6'],1
Fold 18,"['S6', 'Frequency']",2
Fold 19,"['CREB', 'MAPKAPK2', 'S6']",3
Fold 20,"['CREB', 'MAPKAPK2', 'S6', 'Frequency']",4
Fold 21,['S6'],1
Fold 22,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 23,['S6'],1
Fold 24,['S6'],1
Fold 25,"['MAPKAPK2', 'S6']",2
Fold 26,"['S6', 'Frequency']",2
Fold 27,['S6'],1
Fold 28,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 29,"['CREB', 'MAPKAPK2', 'S6']",3
Fold 30,"['MAPKAPK2', 'S6']",2
Fold 31,['S6'],1
Fold 32,"['MAPKAPK2', 'S6', 'Frequency']",3
Fold 33,['S6'],1
Fold 34,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 35,"['CREB', 'NFkB', 'S6']",3
Fold 36,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 37,"['MAPKAPK2', 'S6', 'Frequency']",3
Fold 38,['S6'],1
Fold 39,['S6'],1
Fold 40,['S6'],1
Fold 41,['S6'],1
Fold 42,['S6'],1
Fold 43,"['MAPKAPK2', 'S6']",2
Fold 44,['S6'],1
Fold 45,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 46,['S6'],1
Fold 47,"['MAPKAPK2', 'S6']",2
Fold 48,['S6'],1
Fold 49,"['S6', 'Frequency']",2
Fold 50,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 51,['S6'],1
Fold 52,['S6'],1
Fold 53,"['MAPKAPK2', 'S6', 'Frequency']",3
Fold 54,"['MAPKAPK2', 'S6', 'Frequency']",3
Fold 55,"['CREB', 'MAPKAPK2', 'S6', 'Frequency']",4
Fold 56,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 57,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 58,"['CREB', 'MAPKAPK2', 'S6']",3
Fold 59,"['CREB', 'NFkB', 'S6']",3
Fold 60,['S6'],1
Fold 61,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 62,"['CREB', 'MAPKAPK2', 'S6']",3
Fold 63,"['CREB', 'NFkB', 'S6']",3
