,Max Proba
artificial.143,1.0
artificial.172,0.981
artificial.32,0.946
artificial.68,0.938
artificial.88,0.916
artificial.184,0.909
artificial.126,0.907
artificial.80,0.902
artificial.111,0.902
artificial.30,0.902
artificial.167,0.902
artificial.24,0.892
artificial.43,0.89
artificial.34,0.889
artificial.120,0.889
artificial.168,0.889
artificial.119,0.889
artificial.19,0.879
artificial.145,0.876
artificial.14,0.86
artificial.130,0.851
artificial.156,0.85
artificial.106,0.84
artificial.101,0.823
artificial.38,0.815
artificial.17,0.802
artificial.109,0.799
artificial.154,0.793
artificial.59,0.782
artificial.91,0.761
artificial.72,0.751
artificial.69,0.75
artificial.179,0.747
artificial.105,0.747
artificial.44,0.741
artificial.61,0.736
artificial.180,0.645
artificial.52,0.607
artificial.107,0.583
artificial.116,0.582
artificial.144,0.576
artificial.60,0.547
artificial.183,0.541
artificial.110,0.479
artificial.78,0.463
artificial.125,0.441
artificial.73,0.431
artificial.159,0.422
artificial.177,0.42
artificial.29,0.419
artificial.37,0.405
artificial.71,0.403
artificial.163,0.389
artificial.67,0.388
artificial.9,0.387
artificial.84,0.384
artificial.22,0.384
artificial.136,0.372
artificial.87,0.368
artificial.16,0.352
artificial.90,0.324
artificial.102,0.301
artificial.15,0.301
artificial.40,0.276
artificial.76,0.273
artificial.98,0.251
artificial.170,0.243
artificial.192,0.227
artificial.146,0.217
artificial.129,0.216
artificial.123,0.201
artificial.108,0.193
artificial.18,0.19
artificial.79,0.188
artificial.85,0.168
artificial.58,0.16
artificial.114,0.146
artificial.142,0.141
artificial.25,0.135
artificial.11,0.126
artificial.148,0.116
artificial.139,0.114
artificial.127,0.112
artificial.42,0.106
artificial.46,0.093
artificial.21,0.089
artificial.128,0.088
artificial.62,0.088
artificial.28,0.087
artificial.174,0.085
artificial.5,0.085
artificial.94,0.072
artificial.189,0.072
artificial.45,0.069
artificial.104,0.058
artificial.124,0.054
artificial.82,0.054
artificial.121,0.052
artificial.1,0.046
artificial.54,0.045
artificial.77,0.039
artificial.64,0.032
artificial.4,0.026
artificial.134,0.025
artificial.57,0.024
artificial.8,0.023
artificial.35,0.021
artificial.152,0.02
artificial.151,0.017
artificial.122,0.015
artificial.20,0.015
artificial.31,0.014
artificial.81,0.014
artificial.12,0.014
artificial.181,0.014
artificial.176,0.012
artificial.70,0.009
artificial.63,0.007
artificial.3,0.007
artificial.93,0.006
artificial.173,0.005
artificial.86,0.005
artificial.162,0.002
artificial.23,0.0
artificial.157,0.0
artificial.161,0.0
artificial.165,0.0
artificial.160,0.0
artificial.33,0.0
artificial.166,0.0
artificial.27,0.0
artificial.26,0.0
artificial.158,0.0
artificial.169,0.0
artificial.164,0.0
artificial.175,0.0
artificial.171,0.0
artificial.182,0.0
artificial.187,0.0
artificial.186,0.0
artificial.185,0.0
artificial.6,0.0
artificial.190,0.0
artificial.7,0.0
artificial.191,0.0
artificial.194,0.0
artificial.10,0.0
artificial.178,0.0
artificial.155,0.0
artificial.193,0.0
artificial.188,0.0
artificial.13,0.0
artificial.100,0.0
artificial.39,0.0
artificial.36,0.0
artificial.55,0.0
artificial.65,0.0
artificial.66,0.0
artificial.74,0.0
artificial.75,0.0
artificial.118,0.0
artificial.117,0.0
artificial.115,0.0
artificial.113,0.0
artificial.112,0.0
artificial.83,0.0
artificial.89,0.0
artificial.92,0.0
artificial.95,0.0
artificial.96,0.0
artificial.97,0.0
artificial.103,0.0
artificial.2,0.0
artificial.56,0.0
artificial.131,0.0
artificial.153,0.0
artificial.132,0.0
artificial.150,0.0
artificial.149,0.0
artificial.99,0.0
artificial.147,0.0
artificial.41,0.0
artificial.47,0.0
artificial.48,0.0
artificial.49,0.0
artificial.50,0.0
artificial.141,0.0
artificial.140,0.0
artificial.51,0.0
artificial.138,0.0
artificial.137,0.0
artificial.53,0.0
artificial.135,0.0
artificial.133,0.0
artificial.195,0.0
