,Max Proba
CD4Tnaive_Frequency,1.0
CD62LnAgedNeutrophils_S6,1.0
MDSC_S6,1.0
CCR2pcMC_Frequency,1.0
CCR2pcMC_S6,1.0
intMC_S6,0.994
CD4Trm_S6,0.984
Bcells_Frequency,0.978
CCR2nncMC_S6,0.975
Th1mem_STAT6,0.975
CCR2nncMC_MAPKAPK2,0.967
mDC_S6,0.961
intMC_Frequency,0.925
Tregmem_STAT5,0.924
pDC_MAPKAPK2,0.905
pDC_STAT5,0.884
CD8Tnaive_Frequency,0.879
Tregnaive_STAT6,0.878
CD56brightCD16nNKcells_Frequency,0.856
Tregnaive_STAT5,0.855
Th1naive_STAT6,0.828
Th1mem_STAT5,0.824
pDC_S6,0.813
CCR2nncMC_NFkB,0.812
gdTcells_IkB,0.793
CD61pCD41pPLT_STAT3,0.789
CD4Trm_STAT6,0.781
CD4Trm_STAT5,0.776
CCR2nncMC_Frequency,0.756
CD62LnAgedNeutrophils_Frequency,0.74
Th1naive_NFkB,0.72
CD56dimCD16pNKcells_Frequency,0.713
CD4Trm_NFkB,0.69
gdTcells_Frequency,0.689
CD62LnAgedNeutrophils_MAPKAPK2,0.632
CD62LnAgedNeutrophils_p38,0.624
CD61pCD41pPLT_CREB,0.548
CD62LpImmatureNeutrophils_S6,0.432
Bcells_NFkB,0.417
CD4Tcm_Frequency,0.394
NKT_IkB,0.356
CD8Tcm_STAT3,0.328
NKT_STAT6,0.282
CD62LpImmatureNeutrophils_IkB,0.276
Th1naive_S6,0.273
CD41hiCD61hiPLT_p38,0.271
CD4Tcm_IkB,0.266
CD62LpImmatureNeutrophils_Frequency,0.261
Th1mem_ERK,0.251
Th1naive_ERK,0.243
CD4Trm_IkB,0.237
CCR2pcMC_NFkB,0.198
pDC_CREB,0.193
CD62LnAgedNeutrophils_IkB,0.167
mDC_IkB,0.164
CCR2nncMC_CREB,0.157
CD8Tcm_Frequency,0.147
CD61pCD41pPLT_S6,0.138
CD8Tnaive_IkB,0.12
Th1naive_STAT5,0.119
MDSC_Frequency,0.119
Th1naive_MAPKAPK2,0.117
MDSC_IkB,0.108
NKT_Frequency,0.099
CD8Trm_Frequency,0.095
intMC_IkB,0.084
CD8Tnaive_STAT5,0.082
Th1naive_IkB,0.081
Tregnaive_ERK,0.076
CCR2nncMC_IkB,0.07
CD56brightCD16nNKcells_IkB,0.062
CD62LpImmatureNeutrophils_CREB,0.051
CD62LnAgedNeutrophils_STAT3,0.047
CD4Trm_Frequency,0.041
Th1naive_STAT3,0.04
Tregnaive_S6,0.038
Tregmem_Frequency,0.036
Th1naive_CREB,0.028
pDC_IkB,0.026
Tregnaive_IkB,0.026
CD4Tem_STAT6,0.026
CD4Tem_Frequency,0.025
CD4Trm_STAT3,0.024
mDC_Frequency,0.014
NKT_STAT5,0.013
CD4Tem_IkB,0.01
Tregnaive_STAT3,0.008
CD62LpImmatureNeutrophils_STAT3,0.007
CD4Tem_STAT3,0.005
NKT_NFkB,0.005
CCR2pcMC_IkB,0.004
Th1mem_IkB,0.002
pDC_NFkB,0.001
Th1mem_STAT3,0.0
CD4Tnaive_IkB,0.0
Th1mem_S6,0.0
Tregnaive_NFkB,0.0
CD56dimCD16pNKcells_CREB,0.0
Tregmem_NFkB,0.0
Th1mem_NFkB,0.0
Tregmem_STAT3,0.0
CD62LnAgedNeutrophils_CREB,0.0
CCR2nncMC_STAT3,0.0
CD56dimCD16pNKcells_NFkB,0.0
CD4Tnaive_NFkB,0.0
CCR2pcMC_CREB,0.0
CD61pCD41pPLT_IkB,0.0
CCR2pcMC_STAT3,0.0
CD61pCD41pPLT_NFkB,0.0
CD8Tnaive_NFkB,0.0
pDC_STAT3,0.0
Th1mem_CREB,0.0
intMC_NFkB,0.0
CD8Trm_NFkB,0.0
CD8Tnaive_STAT3,0.0
gdTcells_CREB,0.0
gdTcells_NFkB,0.0
gdTcells_STAT6,0.0
CD4Tem_STAT5,0.0
intMC_CREB,0.0
intMC_STAT3,0.0
CD4Tem_NFkB,0.0
CD8Tem_Frequency,0.0
CD4Tcm_NFkB,0.0
CD4Tnaive_STAT3,0.0
mDC_CREB,0.0
CD56brightCD16nNKcells_NFkB,0.0
CD8Tem_NFkB,0.0
CD8Tcm_NFkB,0.0
MDSC_CREB,0.0
MDSC_STAT3,0.0
CD4Tcm_STAT3,0.0
CD8Tcm_STAT5,0.0
CD4Tnaive_STAT5,0.0
CD4Tcm_STAT5,0.0
mDC_STAT3,0.0
