,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'STAT3', 'S6', 'MAPKAPK2', 'Frequency']",5
Fold 1,"['CREB', 'STAT3', 'S6', 'MAPKAPK2', 'Frequency']",5
Fold 2,"['CREB', 'STAT3', 'S6', 'IkB', 'MAPKAPK2', 'Frequency']",6
Fold 3,"['CREB', 'S6', 'MAPKAPK2', 'Frequency']",4
Fold 4,['S6'],1
Fold 5,[],0
Fold 6,"['CREB', 'STAT3', 'S6', 'MAPKAPK2']",4
Fold 7,"['CREB', 'STAT3', 'S6', 'MAPKAPK2', 'Frequency']",5
Fold 8,"['CREB', 'STAT3', 'S6', 'MAPKAPK2', 'Frequency']",5
Fold 9,"['CREB', 'STAT3', 'S6']",3
Fold 10,"['CREB', 'S6', 'MAPKAPK2']",3
Fold 11,"['CREB', 'S6', 'MAPKAPK2', 'Frequency']",4
Fold 12,['S6'],1
Fold 13,['S6'],1
Fold 14,"['CREB', 'S6', 'Frequency']",3
Fold 15,[],0
Fold 16,"['STAT3', 'S6', 'MAPKAPK2', 'Frequency']",4
Fold 17,['S6'],1
Fold 18,['S6'],1
Fold 19,"['CREB', 'STAT3', 'S6', 'MAPKAPK2', 'Frequency']",5
Fold 20,['S6'],1
Fold 21,"['CREB', 'STAT3', 'S6']",3
Fold 22,"['CREB', 'STAT3', 'S6', 'IkB', 'MAPKAPK2', 'Frequency']",6
Fold 23,[],0
Fold 24,"['CREB', 'S6', 'Frequency']",3
Fold 25,[],0
Fold 26,['S6'],1
Fold 27,"['STAT3', 'S6', 'MAPKAPK2', 'Frequency']",4
Fold 28,"['CREB', 'STAT3', 'S6', 'MAPKAPK2', 'Frequency']",5
Fold 29,"['CREB', 'STAT3', 'S6', 'MAPKAPK2', 'Frequency']",5
Fold 30,"['CREB', 'S6', 'MAPKAPK2', 'Frequency']",4
Fold 31,['S6'],1
Fold 32,"['CREB', 'S6', 'MAPKAPK2']",3
Fold 33,['S6'],1
Fold 34,"['CREB', 'STAT3', 'S6', 'MAPKAPK2', 'Frequency']",5
Fold 35,['S6'],1
Fold 36,"['CREB', 'STAT3', 'S6', 'MAPKAPK2', 'Frequency']",5
Fold 37,"['CREB', 'STAT3', 'S6', 'MAPKAPK2']",4
Fold 38,"['CREB', 'STAT3', 'S6', 'MAPKAPK2', 'Frequency']",5
Fold 39,"['CREB', 'S6', 'MAPKAPK2', 'Frequency']",4
Fold 40,['S6'],1
Fold 41,"['STAT3', 'S6', 'MAPKAPK2', 'Frequency']",4
Fold 42,"['CREB', 'STAT3', 'S6', 'MAPKAPK2', 'Frequency']",5
Fold 43,"['CREB', 'S6', 'MAPKAPK2', 'Frequency']",4
Fold 44,[],0
Fold 45,"['CREB', 'STAT3', 'S6', 'MAPKAPK2', 'Frequency']",5
Fold 46,"['CREB', 'STAT3', 'S6']",3
Fold 47,[],0
Fold 48,"['CREB', 'S6', 'Frequency']",3
Fold 49,['S6'],1
Fold 50,"['CREB', 'STAT3', 'S6', 'IkB', 'MAPKAPK2', 'Frequency']",6
Fold 51,['S6'],1
Fold 52,"['CREB', 'S6', 'MAPKAPK2', 'Frequency']",4
Fold 53,"['CREB', 'S6', 'MAPKAPK2']",3
