,Fold selected features,Fold nb of features
Fold 0,['STAT6'],1
Fold 1,['STAT6'],1
Fold 2,[],0
Fold 3,[],0
Fold 4,[],0
Fold 5,"['CREB', 'S6']",2
Fold 6,['STAT6'],1
Fold 7,['STAT6'],1
Fold 8,[],0
Fold 9,[],0
Fold 10,[],0
Fold 11,['STAT6'],1
Fold 12,['STAT6'],1
Fold 13,['S6'],1
Fold 14,[],0
Fold 15,['STAT6'],1
Fold 16,['STAT6'],1
Fold 17,['S6'],1
Fold 18,[],0
Fold 19,['S6'],1
Fold 20,['S6'],1
Fold 21,[],0
Fold 22,[],0
Fold 23,"['CREB', 'S6']",2
Fold 24,[],0
Fold 25,['STAT6'],1
Fold 26,[],0
Fold 27,['STAT6'],1
Fold 28,['STAT6'],1
Fold 29,['S6'],1
Fold 30,['STAT6'],1
Fold 31,['STAT6'],1
Fold 32,[],0
Fold 33,['S6'],1
Fold 34,[],0
Fold 35,[],0
Fold 36,['STAT6'],1
Fold 37,['STAT6'],1
Fold 38,['STAT6'],1
Fold 39,[],0
Fold 40,['S6'],1
Fold 41,['STAT6'],1
Fold 42,['STAT6'],1
Fold 43,['STAT6'],1
Fold 44,"['CREB', 'S6']",2
Fold 45,[],0
Fold 46,[],0
Fold 47,['STAT6'],1
Fold 48,[],0
Fold 49,[],0
Fold 50,[],0
Fold 51,['STAT6'],1
Fold 52,[],0
Fold 53,[],0
Fold 54,['STAT6'],1
Fold 55,['S6'],1
Fold 56,['STAT6'],1
Fold 57,['STAT6'],1
Fold 58,['S6'],1
Fold 59,[],0
Fold 60,['STAT6'],1
Fold 61,[],0
Fold 62,['S6'],1
Fold 63,[],0
Fold 64,['STAT6'],1
Fold 65,['STAT6'],1
Fold 66,[],0
Fold 67,['STAT6'],1
Fold 68,['STAT6'],1
Fold 69,['S6'],1
Fold 70,"['CREB', 'S6']",2
Fold 71,['S6'],1
Fold 72,[],0
Fold 73,['STAT6'],1
Fold 74,[],0
Fold 75,['STAT6'],1
Fold 76,[],0
Fold 77,[],0
Fold 78,['STAT6'],1
Fold 79,[],0
Fold 80,"['CREB', 'S6']",2
Fold 81,['STAT6'],1
Fold 82,['S6'],1
Fold 83,['S6'],1
Fold 84,['STAT6'],1
Fold 85,['STAT6'],1
Fold 86,['STAT6'],1
Fold 87,[],0
Fold 88,[],0
Fold 89,[],0
Fold 90,['STAT6'],1
Fold 91,[],0
Fold 92,['STAT6'],1
Fold 93,['S6'],1
Fold 94,[],0
Fold 95,['STAT6'],1
Fold 96,[],0
Fold 97,[],0
Fold 98,[],0
Fold 99,['STAT6'],1
Fold 100,['STAT6'],1
Fold 101,[],0
Fold 102,[],0
Fold 103,"['CREB', 'S6']",2
Fold 104,[],0
Fold 105,[],0
Fold 106,['STAT6'],1
Fold 107,['S6'],1
Fold 108,[],0
Fold 109,['STAT6'],1
Fold 110,[],0
Fold 111,['S6'],1
Fold 112,['STAT6'],1
Fold 113,['STAT6'],1
Fold 114,['STAT6'],1
Fold 115,[],0
Fold 116,['S6'],1
Fold 117,['STAT6'],1
Fold 118,['STAT6'],1
Fold 119,[],0
Fold 120,[],0
Fold 121,['S6'],1
Fold 122,['STAT6'],1
Fold 123,[],0
Fold 124,['STAT6'],1
Fold 125,"['CREB', 'S6']",2
Fold 126,['STAT6'],1
Fold 127,['STAT6'],1
Fold 128,[],0
Fold 129,[],0
Fold 130,[],0
Fold 131,['STAT6'],1
Fold 132,['STAT6'],1
Fold 133,[],0
Fold 134,['STAT6'],1
Fold 135,['STAT6'],1
Fold 136,[],0
Fold 137,['S6'],1
Fold 138,[],0
Fold 139,['S6'],1
Fold 140,['STAT6'],1
Fold 141,[],0
Fold 142,[],0
Fold 143,"['CREB', 'S6']",2
Fold 144,['STAT6'],1
Fold 145,[],0
Fold 146,['STAT6'],1
Fold 147,['STAT6'],1
Fold 148,[],0
Fold 149,[],0
Fold 150,['S6'],1
Fold 151,['STAT6'],1
Fold 152,['S6'],1
Fold 153,['STAT6'],1
Fold 154,['S6'],1
Fold 155,['STAT6'],1
Fold 156,['STAT6'],1
Fold 157,[],0
Fold 158,[],0
Fold 159,[],0
Fold 160,['STAT6'],1
Fold 161,['STAT6'],1
Fold 162,['STAT6'],1
Fold 163,[],0
Fold 164,['STAT6'],1
Fold 165,['STAT6'],1
Fold 166,[],0
Fold 167,[],0
Fold 168,[],0
Fold 169,"['CREB', 'S6']",2
Fold 170,['STAT6'],1
Fold 171,[],0
Fold 172,['S6'],1
Fold 173,[],0
Fold 174,['STAT6'],1
Fold 175,[],0
Fold 176,['S6'],1
Fold 177,[],0
Fold 178,['STAT6'],1
Fold 179,['S6'],1
Fold 180,[],0
Fold 181,['STAT6'],1
Fold 182,[],0
Fold 183,[],0
Fold 184,['STAT6'],1
Fold 185,"['CREB', 'S6']",2
Fold 186,[],0
Fold 187,['STAT6'],1
Fold 188,[],0
Fold 189,['STAT6'],1
Fold 190,['STAT6'],1
Fold 191,['STAT6'],1
Fold 192,[],0
Fold 193,[],0
Fold 194,['STAT6'],1
Fold 195,[],0
Fold 196,['S6'],1
Fold 197,['S6'],1
Fold 198,['S6'],1
Fold 199,['STAT6'],1
