,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 1,"['S6', 'Frequency']",2
Fold 2,"['S6', 'Frequency']",2
Fold 3,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 4,"['CREB', 'S6', 'Frequency']",3
Fold 5,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 6,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 7,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 8,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 9,"['S6', 'Frequency']",2
Fold 10,"['CREB', 'p38', 'STAT3', 'S6', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 11,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 12,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 13,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 14,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 15,"['S6', 'Frequency']",2
Fold 16,"['CREB', 'S6', 'Frequency']",3
Fold 17,"['CREB', 'S6', 'Frequency']",3
Fold 18,['S6'],1
Fold 19,['S6'],1
Fold 20,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 21,"['S6', 'Frequency']",2
Fold 22,"['S6', 'Frequency']",2
Fold 23,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 24,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 25,"['S6', 'Frequency']",2
Fold 26,['S6'],1
Fold 27,"['CREB', 'S6', 'Frequency']",3
Fold 28,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 29,['S6'],1
Fold 30,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 31,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 32,"['CREB', 'p38', 'STAT3', 'S6', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 33,"['CREB', 'S6', 'Frequency']",3
Fold 34,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 35,"['CREB', 'S6', 'Frequency']",3
Fold 36,"['S6', 'Frequency']",2
Fold 37,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 38,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 39,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 40,"['CREB', 'S6', 'Frequency']",3
Fold 41,"['CREB', 'S6', 'Frequency']",3
Fold 42,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 43,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 44,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 45,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 46,"['S6', 'Frequency']",2
Fold 47,"['S6', 'Frequency']",2
Fold 48,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 49,['S6'],1
Fold 50,"['S6', 'Frequency']",2
Fold 51,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 52,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 53,"['CREB', 'p38', 'STAT3', 'S6', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 54,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 55,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 56,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 57,"['S6', 'Frequency']",2
Fold 58,['S6'],1
Fold 59,"['CREB', 'S6', 'Frequency']",3
Fold 60,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 61,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 62,['S6'],1
Fold 63,"['CREB', 'S6', 'Frequency']",3
Fold 64,"['S6', 'Frequency']",2
Fold 65,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 66,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 67,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 68,"['S6', 'Frequency']",2
Fold 69,"['CREB', 'S6', 'Frequency']",3
Fold 70,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 71,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 72,"['S6', 'Frequency']",2
Fold 73,"['CREB', 'S6', 'Frequency']",3
Fold 74,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 75,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 76,"['S6', 'Frequency']",2
Fold 77,"['CREB', 'p38', 'STAT3', 'S6', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 78,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 79,['S6'],1
Fold 80,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 81,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 82,"['CREB', 'S6', 'Frequency']",3
Fold 83,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 84,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 85,"['S6', 'Frequency']",2
Fold 86,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 87,"['S6', 'Frequency']",2
Fold 88,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 89,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 90,"['S6', 'Frequency']",2
Fold 91,"['CREB', 'S6', 'Frequency']",3
Fold 92,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 93,['S6'],1
Fold 94,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 95,"['CREB', 'S6', 'Frequency']",3
Fold 96,['S6'],1
Fold 97,"['S6', 'Frequency']",2
Fold 98,"['CREB', 'p38', 'STAT3', 'S6', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 99,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 100,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 101,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 102,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 103,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 104,"['S6', 'Frequency']",2
Fold 105,"['S6', 'Frequency']",2
Fold 106,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 107,"['CREB', 'S6', 'Frequency']",3
Fold 108,"['CREB', 'p38', 'STAT3', 'S6', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 109,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 110,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 111,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 112,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 113,"['S6', 'Frequency']",2
Fold 114,"['CREB', 'S6', 'Frequency']",3
Fold 115,"['CREB', 'S6', 'Frequency']",3
Fold 116,['S6'],1
Fold 117,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 118,"['S6', 'Frequency']",2
Fold 119,['S6'],1
Fold 120,"['CREB', 'p38', 'STAT3', 'S6', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 121,"['CREB', 'S6', 'Frequency']",3
Fold 122,"['S6', 'Frequency']",2
Fold 123,"['S6', 'Frequency']",2
Fold 124,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 125,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 126,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 127,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 128,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 129,"['S6', 'Frequency']",2
Fold 130,['S6'],1
Fold 131,"['S6', 'Frequency']",2
Fold 132,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
