,Max Proba
artificial.64,1.0
artificial.91,1.0
artificial.141,0.996
artificial.94,0.985
artificial.124,0.984
artificial.149,0.975
artificial.161,0.972
artificial.45,0.959
artificial.108,0.951
artificial.122,0.903
artificial.102,0.901
artificial.44,0.9
artificial.169,0.895
artificial.10,0.894
artificial.148,0.884
artificial.15,0.878
artificial.68,0.872
artificial.165,0.864
artificial.171,0.862
artificial.123,0.85
artificial.37,0.846
artificial.58,0.844
artificial.138,0.835
artificial.51,0.827
artificial.29,0.81
artificial.26,0.795
artificial.164,0.786
artificial.117,0.779
artificial.83,0.771
artificial.63,0.77
artificial.7,0.721
artificial.119,0.674
artificial.43,0.67
artificial.143,0.666
artificial.55,0.652
artificial.70,0.65
artificial.98,0.624
artificial.86,0.617
artificial.87,0.609
artificial.194,0.552
artificial.187,0.548
artificial.60,0.531
artificial.40,0.529
artificial.131,0.524
artificial.71,0.492
artificial.130,0.459
artificial.126,0.45
artificial.77,0.447
artificial.18,0.444
artificial.137,0.437
artificial.25,0.407
artificial.21,0.399
artificial.72,0.386
artificial.30,0.354
artificial.33,0.342
artificial.104,0.326
artificial.6,0.319
artificial.67,0.303
artificial.35,0.283
artificial.52,0.273
artificial.163,0.242
artificial.1,0.209
artificial.3,0.208
artificial.11,0.205
artificial.61,0.185
artificial.181,0.184
artificial.62,0.18
artificial.147,0.179
artificial.99,0.172
artificial.66,0.16
artificial.170,0.129
artificial.9,0.125
artificial.134,0.12
artificial.50,0.113
artificial.111,0.11
artificial.144,0.11
artificial.5,0.099
artificial.136,0.098
artificial.53,0.096
artificial.69,0.089
artificial.172,0.083
artificial.160,0.08
artificial.142,0.076
artificial.74,0.067
artificial.185,0.065
artificial.57,0.065
artificial.114,0.054
artificial.93,0.051
artificial.54,0.047
artificial.79,0.047
artificial.39,0.046
artificial.180,0.041
artificial.174,0.04
artificial.177,0.039
artificial.176,0.035
artificial.175,0.034
artificial.113,0.033
artificial.188,0.031
artificial.34,0.03
artificial.105,0.029
artificial.27,0.028
artificial.182,0.026
artificial.22,0.025
artificial.128,0.025
artificial.38,0.025
artificial.100,0.024
artificial.173,0.023
artificial.140,0.021
artificial.192,0.019
artificial.118,0.019
artificial.157,0.017
artificial.89,0.011
artificial.129,0.009
artificial.97,0.006
artificial.95,0.006
artificial.191,0.006
artificial.168,0.006
artificial.107,0.005
artificial.153,0.005
artificial.92,0.005
artificial.36,0.005
artificial.139,0.004
artificial.96,0.003
artificial.90,0.0
artificial.88,0.0
artificial.166,0.0
artificial.49,0.0
artificial.167,0.0
artificial.12,0.0
artificial.8,0.0
artificial.47,0.0
artificial.48,0.0
artificial.162,0.0
artificial.85,0.0
artificial.84,0.0
artificial.13,0.0
artificial.112,0.0
artificial.81,0.0
artificial.82,0.0
artificial.159,0.0
artificial.65,0.0
artificial.193,0.0
artificial.59,0.0
artificial.190,0.0
artificial.189,0.0
artificial.56,0.0
artificial.4,0.0
artificial.186,0.0
artificial.73,0.0
artificial.184,0.0
artificial.183,0.0
artificial.75,0.0
artificial.76,0.0
artificial.78,0.0
artificial.179,0.0
artificial.178,0.0
artificial.80,0.0
artificial.46,0.0
artificial.155,0.0
artificial.158,0.0
artificial.156,0.0
artificial.132,0.0
artificial.23,0.0
artificial.24,0.0
artificial.103,0.0
artificial.106,0.0
artificial.127,0.0
artificial.125,0.0
artificial.28,0.0
artificial.31,0.0
artificial.32,0.0
artificial.121,0.0
artificial.120,0.0
artificial.109,0.0
artificial.110,0.0
artificial.116,0.0
artificial.133,0.0
artificial.41,0.0
artificial.135,0.0
artificial.16,0.0
artificial.115,0.0
artificial.154,0.0
artificial.152,0.0
artificial.151,0.0
artificial.150,0.0
artificial.14,0.0
artificial.42,0.0
artificial.101,0.0
artificial.146,0.0
artificial.145,0.0
artificial.17,0.0
artificial.19,0.0
artificial.20,0.0
artificial.2,0.0
artificial.195,0.0
