,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'Frequency']",2
Fold 1,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 2,"['CREB', 'STAT3', 'Frequency']",3
Fold 3,"['CREB', 'Frequency']",2
Fold 4,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 5,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 6,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 7,"['STAT3', 'Frequency']",2
Fold 8,"['CREB', 'STAT3', 'Frequency']",3
Fold 9,"['CREB', 'IkB', 'Frequency']",3
Fold 10,"['STAT3', 'Frequency']",2
Fold 11,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 12,"['CREB', 'Frequency']",2
Fold 13,"['CREB', 'STAT3', 'IkB']",3
Fold 14,"['CREB', 'Frequency']",2
Fold 15,"['CREB', 'IkB', 'Frequency']",3
Fold 16,"['CREB', 'Frequency']",2
Fold 17,"['CREB', 'STAT3', 'Frequency']",3
Fold 18,['CREB'],1
Fold 19,"['CREB', 'Frequency']",2
Fold 20,"['CREB', 'STAT3', 'IkB']",3
Fold 21,"['CREB', 'IkB', 'Frequency']",3
Fold 22,"['CREB', 'STAT3', 'Frequency']",3
Fold 23,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 24,"['CREB', 'Frequency']",2
Fold 25,"['CREB', 'IkB', 'Frequency']",3
Fold 26,['CREB'],1
Fold 27,"['CREB', 'Frequency']",2
Fold 28,"['STAT3', 'Frequency']",2
Fold 29,"['CREB', 'Frequency']",2
Fold 30,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 31,"['CREB', 'Frequency']",2
Fold 32,"['STAT3', 'Frequency']",2
Fold 33,"['CREB', 'STAT3', 'Frequency']",3
Fold 34,"['CREB', 'STAT3', 'Frequency']",3
Fold 35,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 36,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 37,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 38,"['CREB', 'Frequency']",2
Fold 39,"['CREB', 'Frequency']",2
Fold 40,"['CREB', 'STAT3', 'Frequency']",3
Fold 41,"['CREB', 'Frequency']",2
Fold 42,"['CREB', 'Frequency']",2
Fold 43,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 44,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 45,"['CREB', 'STAT3', 'Frequency']",3
Fold 46,"['CREB', 'IkB', 'Frequency']",3
Fold 47,"['CREB', 'IkB', 'Frequency']",3
Fold 48,"['CREB', 'Frequency']",2
Fold 49,['CREB'],1
Fold 50,"['CREB', 'STAT3', 'Frequency']",3
Fold 51,"['CREB', 'Frequency']",2
Fold 52,"['CREB', 'Frequency']",2
Fold 53,"['STAT3', 'Frequency']",2
Fold 54,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 55,"['CREB', 'STAT3', 'IkB']",3
Fold 56,"['STAT3', 'Frequency']",2
Fold 57,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 58,"['CREB', 'Frequency']",2
Fold 59,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 60,"['CREB', 'Frequency']",2
Fold 61,"['CREB', 'STAT3', 'Frequency']",3
Fold 62,"['CREB', 'Frequency']",2
Fold 63,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 64,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 65,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 66,"['CREB', 'Frequency']",2
Fold 67,"['CREB', 'Frequency']",2
Fold 68,"['CREB', 'IkB', 'Frequency']",3
Fold 69,"['CREB', 'STAT3', 'Frequency']",3
Fold 70,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 71,"['CREB', 'STAT3', 'IkB']",3
Fold 72,"['CREB', 'STAT3', 'Frequency']",3
Fold 73,"['CREB', 'Frequency']",2
Fold 74,"['CREB', 'Frequency']",2
Fold 75,"['STAT3', 'Frequency']",2
Fold 76,"['CREB', 'IkB', 'Frequency']",3
Fold 77,"['STAT3', 'Frequency']",2
Fold 78,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 79,['CREB'],1
Fold 80,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 81,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 82,"['CREB', 'STAT3', 'Frequency']",3
Fold 83,"['CREB', 'STAT3', 'IkB']",3
Fold 84,"['CREB', 'Frequency']",2
Fold 85,"['CREB', 'IkB', 'Frequency']",3
Fold 86,"['CREB', 'Frequency']",2
Fold 87,"['CREB', 'IkB', 'Frequency']",3
Fold 88,"['CREB', 'Frequency']",2
Fold 89,"['CREB', 'Frequency']",2
Fold 90,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 91,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 92,"['CREB', 'STAT3', 'IkB', 'Frequency']",4
Fold 93,"['CREB', 'Frequency']",2
Fold 94,"['CREB', 'STAT3', 'Frequency']",3
Fold 95,"['CREB', 'Frequency']",2
