,Max Proba
CD8Tem_Frequency,0.849
CD41hiCD61hiPLT_MAPKAPK2,0.845
Th1naive_IkB,0.815
CD41hiCD61hiPLT_p38,0.786
gdTcells_NFkB,0.765
CCR2nncMC_S6,0.731
CD62LpImmatureNeutrophils_Frequency,0.704
CD61pCD41pPLT_S6,0.671
CD4Tem_Frequency,0.666
CD8Trm_Frequency,0.616
CD41hiCD61hiPLT_CREB,0.563
Th1naive_NFkB,0.531
Tregnaive_STAT6,0.518
Th1naive_STAT5,0.502
gdTcells_Frequency,0.484
CD4Tem_STAT3,0.444
CD56dimCD16pNKcells_NFkB,0.425
CD41hiCD61hiPLT_S6,0.414
Tregnaive_CREB,0.414
CD8Tcm_CREB,0.41
CD4Trm_STAT6,0.407
Th1mem_NFkB,0.404
Th1naive_STAT6,0.404
pDC_STAT3,0.4
pDC_MAPKAPK2,0.379
CCR2nncMC_Frequency,0.375
CD8Tcm_STAT3,0.368
Tregmem_Frequency,0.365
Th1mem_ERK,0.357
CD56brightCD16nNKcells_CREB,0.333
mDC_ERK,0.328
intMC_Frequency,0.319
CD62LnAgedNeutrophils_IkB,0.296
NKT_NFkB,0.285
Th1naive_p38,0.283
MDSC_Frequency,0.279
Th1naive_CREB,0.274
Th1mem_CREB,0.241
CD56brightCD16nNKcells_Frequency,0.229
CCR2pcMC_Frequency,0.227
Tregmem_STAT3,0.226
Tregnaive_STAT3,0.223
Th1mem_p38,0.206
CD4Tcm_Frequency,0.2
Th1naive_ERK,0.19
CD56dimCD16pNKcells_Frequency,0.185
CD4Trm_NFkB,0.176
Tregnaive_ERK,0.164
CD56brightCD16nNKcells_MAPKAPK2,0.15
MDSC_ERK,0.137
NKT_STAT3,0.122
CD8Tnaive_Frequency,0.115
Th1mem_IkB,0.114
CCR2pcMC_ERK,0.108
CD62LnAgedNeutrophils_Frequency,0.107
Bcells_S6,0.106
CD61pCD41pPLT_STAT3,0.104
CD8Tnaive_CREB,0.104
Th1mem_STAT6,0.094
NKT_CREB,0.089
Th1naive_S6,0.088
CD62LnAgedNeutrophils_S6,0.085
CCR2nncMC_CREB,0.08
Th1naive_MAPKAPK2,0.079
Tregnaive_STAT5,0.077
Th1mem_S6,0.076
Bcells_NFkB,0.074
Bcells_Frequency,0.073
CD4Tcm_STAT3,0.07
gdTcells_CREB,0.068
Th1naive_STAT3,0.068
CD56dimCD16pNKcells_CREB,0.067
Th1mem_STAT5,0.062
mDC_IkB,0.06
CD4Tnaive_Frequency,0.059
intMC_CREB,0.057
mDC_S6,0.055
CD62LpImmatureNeutrophils_IkB,0.044
CD62LpImmatureNeutrophils_STAT3,0.043
CD4Tnaive_STAT3,0.038
Tregnaive_MAPKAPK2,0.036
CD62LnAgedNeutrophils_STAT3,0.032
Tregnaive_IkB,0.031
CD56brightCD16nNKcells_NFkB,0.03
mDC_Frequency,0.03
CD61pCD41pPLT_NFkB,0.025
CD62LnAgedNeutrophils_CREB,0.024
Tregnaive_NFkB,0.023
MDSC_CREB,0.022
CD4Tcm_STAT5,0.021
CD4Trm_Frequency,0.02
CCR2pcMC_CREB,0.019
MDSC_MAPKAPK2,0.019
CD8Tem_CREB,0.018
CD8Trm_CREB,0.017
Th1mem_STAT3,0.015
CD8Tnaive_STAT3,0.014
CD62LpImmatureNeutrophils_CREB,0.014
CCR2nncMC_STAT3,0.012
intMC_MAPKAPK2,0.011
CD4Tem_STAT5,0.011
Th1mem_MAPKAPK2,0.01
intMC_ERK,0.009
CD4Trm_CREB,0.009
CD62LpImmatureNeutrophils_S6,0.009
CCR2pcMC_MAPKAPK2,0.009
CD4Trm_STAT3,0.009
CD61pCD41pPLT_IkB,0.008
CD4Tnaive_STAT5,0.007
intMC_STAT3,0.007
CCR2pcMC_STAT3,0.006
MDSC_STAT3,0.006
pDC_CREB,0.004
gdTcells_MAPKAPK2,0.003
CD8Tnaive_STAT5,0.002
mDC_MAPKAPK2,0.001
mDC_STAT3,0.001
pDC_NFkB,0.001
Bcells_CREB,0.001
CCR2pcMC_p38,0.001
CD4Tem_CREB,0.0
CD4Tcm_MAPKAPK2,0.0
pDC_IkB,0.0
Bcells_IkB,0.0
Bcells_MAPKAPK2,0.0
Tregnaive_p38,0.0
CD4Tnaive_MAPKAPK2,0.0
CD4Tnaive_IkB,0.0
CCR2nncMC_IkB,0.0
CD4Tnaive_p38,0.0
Tregmem_MAPKAPK2,0.0
Tregmem_IkB,0.0
Tregmem_p38,0.0
CD4Tem_MAPKAPK2,0.0
CCR2pcMC_S6,0.0
CD4Tem_IkB,0.0
CCR2pcMC_IkB,0.0
CCR2pcMC_NFkB,0.0
CD4Tcm_CREB,0.0
CD4Trm_p38,0.0
CD4Tem_p38,0.0
CD4Tcm_IkB,0.0
CD4Tcm_p38,0.0
CD8Tcm_p38,0.0
pDC_p38,0.0
CD8Tnaive_IkB,0.0
gdTcells_IkB,0.0
gdTcells_p38,0.0
CD62LnAgedNeutrophils_NFkB,0.0
CD8Trm_IkB,0.0
CD8Trm_p38,0.0
CD62LnAgedNeutrophils_MAPKAPK2,0.0
CD8Tnaive_MAPKAPK2,0.0
CD8Tnaive_p38,0.0
NKT_Frequency,0.0
Bcells_p38,0.0
CD8Tem_MAPKAPK2,0.0
CD8Tem_IkB,0.0
CD8Tem_p38,0.0
CD8Tcm_Frequency,0.0
CD8Tcm_MAPKAPK2,0.0
CD8Tcm_IkB,0.0
CD62LnAgedNeutrophils_p38,0.0
intMC_p38,0.0
intMC_S6,0.0
intMC_IkB,0.0
NKT_MAPKAPK2,0.0
NKT_IkB,0.0
CD4Trm_IkB,0.0
NKT_p38,0.0
CD56brightCD16nNKcells_p38,0.0
CD56brightCD16nNKcells_IkB,0.0
MDSC_IkB,0.0
MDSC_S6,0.0
MDSC_p38,0.0
mDC_NFkB,0.0
CD56dimCD16pNKcells_p38,0.0
CD56dimCD16pNKcells_IkB,0.0
mDC_p38,0.0
mDC_CREB,0.0
intMC_NFkB,0.0
MDSC_NFkB,0.0
