,Max Proba
intMC_S6,0.689
CD41hiCD61hiPLT_MAPKAPK2,0.605
CCR2nncMC_S6,0.408
mDC_S6,0.371
CD62LpImmatureNeutrophils_IkB,0.369
CCR2nncMC_NFkB,0.337
CD4Trm_STAT6,0.199
CD61pCD41pPLT_STAT3,0.185
CD62LnAgedNeutrophils_S6,0.179
Th1naive_S6,0.171
CD56dimCD16pNKcells_Frequency,0.168
CD4Tnaive_Frequency,0.14
pDC_IkB,0.137
CD4Tem_Frequency,0.115
Th1mem_ERK,0.104
mDC_NFkB,0.1
Th1naive_CREB,0.098
CCR2pcMC_Frequency,0.098
Th1mem_S6,0.094
CD62LnAgedNeutrophils_IkB,0.089
MDSC_S6,0.083
Th1mem_IkB,0.075
CD8Tnaive_STAT5,0.072
CD62LpImmatureNeutrophils_S6,0.068
CCR2pcMC_NFkB,0.061
CD61pCD41pPLT_CREB,0.061
CCR2nncMC_Frequency,0.055
CD41hiCD61hiPLT_p38,0.053
Tregnaive_STAT5,0.049
CD62LpImmatureNeutrophils_Frequency,0.048
Th1mem_p38,0.048
MDSC_Frequency,0.031
Th1naive_p38,0.031
CD62LnAgedNeutrophils_p38,0.03
CCR2pcMC_S6,0.029
CD4Tcm_IkB,0.023
CD4Tnaive_STAT5,0.023
CD56brightCD16nNKcells_Frequency,0.023
CD62LpImmatureNeutrophils_CREB,0.021
Tregnaive_Frequency,0.019
mDC_MAPKAPK2,0.019
intMC_CREB,0.016
CCR2nncMC_CREB,0.014
CD56dimCD16pNKcells_CREB,0.011
CCR2nncMC_STAT3,0.01
CD8Tcm_CREB,0.009
CD8Tnaive_NFkB,0.009
Th1mem_STAT5,0.008
CD61pCD41pPLT_S6,0.008
pDC_CREB,0.007
CD4Tem_STAT3,0.007
CD4Trm_IkB,0.007
CD4Tem_STAT5,0.006
NKT_CREB,0.006
CD62LnAgedNeutrophils_STAT3,0.004
CD62LnAgedNeutrophils_MAPKAPK2,0.004
intMC_Frequency,0.003
CD8Trm_Frequency,0.003
CD4Trm_Frequency,0.002
CD41hiCD61hiPLT_S6,0.002
NKT_Frequency,0.002
CCR2pcMC_CREB,0.002
Th1mem_NFkB,0.002
CD56brightCD16nNKcells_NFkB,0.002
mDC_STAT3,0.002
gdTcells_NFkB,0.002
CD8Tem_Frequency,0.001
pDC_S6,0.001
CD62LnAgedNeutrophils_CREB,0.001
CD4Tcm_Frequency,0.001
CCR2pcMC_MAPKAPK2,0.001
Th1naive_IkB,0.001
Tregnaive_NFkB,0.0
Tregmem_NFkB,0.0
Th1naive_MAPKAPK2,0.0
Tregmem_STAT3,0.0
MDSC_STAT3,0.0
MDSC_p38,0.0
MDSC_CREB,0.0
Th1naive_STAT6,0.0
mDC_Frequency,0.0
Tregnaive_ERK,0.0
Tregnaive_IkB,0.0
mDC_ERK,0.0
mDC_IkB,0.0
Tregmem_Frequency,0.0
MDSC_IkB,0.0
MDSC_ERK,0.0
Th1mem_CREB,0.0
MDSC_MAPKAPK2,0.0
Th1naive_ERK,0.0
Th1naive_NFkB,0.0
NKT_IkB,0.0
NKT_NFkB,0.0
Th1naive_STAT3,0.0
NKT_STAT6,0.0
Th1naive_STAT5,0.0
Th1mem_MAPKAPK2,0.0
pDC_STAT3,0.0
Th1mem_STAT6,0.0
Th1mem_STAT3,0.0
pDC_Frequency,0.0
Tregnaive_STAT3,0.0
Bcells_CREB,0.0
mDC_p38,0.0
CD4Tem_NFkB,0.0
CD61pCD41pPLT_IkB,0.0
CD56dimCD16pNKcells_NFkB,0.0
CD56brightCD16nNKcells_IkB,0.0
CD56brightCD16nNKcells_CREB,0.0
CD4Trm_NFkB,0.0
CD4Trm_STAT3,0.0
CD4Trm_STAT5,0.0
CD4Trm_CREB,0.0
CD4Tnaive_NFkB,0.0
CD4Tnaive_IkB,0.0
CD4Tnaive_STAT3,0.0
CD4Tem_IkB,0.0
mDC_CREB,0.0
CD4Tem_CREB,0.0
CD4Tcm_NFkB,0.0
CD4Tcm_STAT3,0.0
CD4Tcm_STAT5,0.0
CD4Tcm_CREB,0.0
CCR2pcMC_ERK,0.0
CCR2pcMC_IkB,0.0
CCR2pcMC_STAT3,0.0
CCR2pcMC_p38,0.0
Bcells_Frequency,0.0
Bcells_NFkB,0.0
CD61pCD41pPLT_NFkB,0.0
CD62LnAgedNeutrophils_Frequency,0.0
CD62LpImmatureNeutrophils_STAT3,0.0
CD8Tcm_STAT5,0.0
intMC_MAPKAPK2,0.0
intMC_ERK,0.0
intMC_NFkB,0.0
intMC_IkB,0.0
intMC_STAT3,0.0
intMC_p38,0.0
gdTcells_Frequency,0.0
gdTcells_STAT6,0.0
gdTcells_IkB,0.0
gdTcells_CREB,0.0
CD8Trm_NFkB,0.0
CD8Trm_CREB,0.0
CD8Tnaive_Frequency,0.0
CD8Tnaive_IkB,0.0
CD8Tnaive_STAT3,0.0
Bcells_S6,0.0
CD8Tem_NFkB,0.0
CD8Tem_IkB,0.0
CD8Tem_CREB,0.0
CD8Tcm_Frequency,0.0
CD8Tcm_NFkB,0.0
CD8Tcm_IkB,0.0
CD8Tcm_STAT3,0.0
CD8Tnaive_CREB,0.0
