,Fold selected features,Fold nb of features
Fold 0,['S6'],1
Fold 1,"['STAT3', 'S6']",2
Fold 2,['S6'],1
Fold 3,['S6'],1
Fold 4,"['STAT3', 'S6']",2
Fold 5,"['STAT3', 'S6']",2
Fold 6,['S6'],1
Fold 7,['S6'],1
Fold 8,"['STAT3', 'S6']",2
Fold 9,"['CREB', 'S6']",2
Fold 10,['S6'],1
Fold 11,"['STAT3', 'S6', 'Frequency']",3
Fold 12,['S6'],1
Fold 13,['S6'],1
Fold 14,['S6'],1
Fold 15,['S6'],1
Fold 16,['S6'],1
Fold 17,['S6'],1
Fold 18,"['STAT3', 'S6']",2
Fold 19,"['STAT3', 'S6']",2
Fold 20,['S6'],1
Fold 21,"['CREB', 'S6']",2
Fold 22,['S6'],1
Fold 23,"['STAT3', 'S6']",2
Fold 24,['S6'],1
Fold 25,['S6'],1
Fold 26,"['STAT3', 'S6']",2
Fold 27,['S6'],1
Fold 28,['S6'],1
Fold 29,"['STAT3', 'S6']",2
Fold 30,"['STAT3', 'S6', 'Frequency']",3
Fold 31,['S6'],1
Fold 32,['S6'],1
Fold 33,['S6'],1
Fold 34,"['STAT3', 'S6']",2
Fold 35,"['STAT3', 'S6']",2
Fold 36,"['STAT3', 'S6']",2
Fold 37,['S6'],1
Fold 38,['S6'],1
Fold 39,['S6'],1
Fold 40,['S6'],1
Fold 41,['S6'],1
Fold 42,['S6'],1
Fold 43,"['STAT3', 'S6', 'Frequency']",3
Fold 44,"['STAT3', 'S6']",2
Fold 45,"['STAT3', 'S6']",2
Fold 46,"['CREB', 'S6']",2
Fold 47,['S6'],1
Fold 48,['S6'],1
Fold 49,"['STAT3', 'S6']",2
Fold 50,['S6'],1
Fold 51,['S6'],1
Fold 52,['S6'],1
Fold 53,['S6'],1
Fold 54,['S6'],1
Fold 55,['S6'],1
Fold 56,['S6'],1
Fold 57,"['STAT3', 'S6']",2
Fold 58,"['STAT3', 'S6']",2
Fold 59,"['STAT3', 'S6']",2
Fold 60,['S6'],1
Fold 61,"['STAT3', 'S6']",2
Fold 62,"['STAT3', 'S6']",2
Fold 63,"['STAT3', 'S6']",2
Fold 64,"['STAT3', 'S6']",2
Fold 65,['S6'],1
Fold 66,['S6'],1
Fold 67,['S6'],1
Fold 68,['S6'],1
Fold 69,['S6'],1
