,Fold selected features,Fold nb of features
Fold 0,[],0
Fold 1,"['CREB', 'S6']",2
Fold 2,"['CREB', 'S6', 'IkB']",3
Fold 3,['S6'],1
Fold 4,"['CREB', 'S6']",2
Fold 5,"['STAT3', 'S6']",2
Fold 6,['S6'],1
Fold 7,['S6'],1
Fold 8,"['CREB', 'S6']",2
Fold 9,"['CREB', 'S6']",2
Fold 10,['S6'],1
Fold 11,"['CREB', 'S6', 'IkB']",3
Fold 12,['IkB'],1
Fold 13,"['CREB', 'S6']",2
Fold 14,"['CREB', 'S6']",2
Fold 15,['S6'],1
Fold 16,"['CREB', 'S6']",2
Fold 17,['S6'],1
Fold 18,['S6'],1
Fold 19,['S6'],1
Fold 20,"['CREB', 'S6']",2
Fold 21,"['CREB', 'S6']",2
Fold 22,"['CREB', 'S6', 'IkB']",3
Fold 23,"['STAT3', 'S6']",2
Fold 24,"['CREB', 'S6']",2
Fold 25,['S6'],1
Fold 26,['S6'],1
Fold 27,"['CREB', 'S6']",2
Fold 28,['S6'],1
Fold 29,['S6'],1
Fold 30,"['CREB', 'S6', 'IkB']",3
Fold 31,['IkB'],1
Fold 32,['S6'],1
Fold 33,['S6'],1
Fold 34,"['CREB', 'S6']",2
Fold 35,"['CREB', 'S6']",2
Fold 36,"['CREB', 'S6']",2
Fold 37,['S6'],1
Fold 38,[],0
Fold 39,['S6'],1
Fold 40,['S6'],1
Fold 41,"['CREB', 'S6']",2
Fold 42,[],0
Fold 43,"['CREB', 'S6', 'IkB']",3
Fold 44,"['STAT3', 'S6']",2
Fold 45,"['CREB', 'S6']",2
Fold 46,"['CREB', 'S6']",2
Fold 47,['S6'],1
Fold 48,"['CREB', 'S6']",2
Fold 49,['S6'],1
Fold 50,"['CREB', 'S6', 'IkB']",3
Fold 51,['IkB'],1
Fold 52,['S6'],1
Fold 53,['S6'],1
Fold 54,['S6'],1
Fold 55,"['CREB', 'S6']",2
Fold 56,['S6'],1
Fold 57,"['CREB', 'S6']",2
Fold 58,['S6'],1
Fold 59,"['CREB', 'S6']",2
Fold 60,[],0
Fold 61,"['CREB', 'S6']",2
Fold 62,['S6'],1
Fold 63,"['CREB', 'S6']",2
Fold 64,"['CREB', 'S6']",2
Fold 65,['S6'],1
Fold 66,"['CREB', 'S6']",2
Fold 67,['IkB'],1
Fold 68,['S6'],1
Fold 69,['S6'],1
Fold 70,"['STAT3', 'S6']",2
Fold 71,"['CREB', 'S6']",2
Fold 72,"['CREB', 'S6', 'IkB']",3
Fold 73,"['CREB', 'S6']",2
Fold 74,['S6'],1
Fold 75,['S6'],1
Fold 76,"['CREB', 'S6']",2
Fold 77,['S6'],1
Fold 78,"['CREB', 'S6', 'IkB']",3
Fold 79,['S6'],1
Fold 80,"['STAT3', 'S6']",2
Fold 81,"['CREB', 'S6', 'IkB']",3
Fold 82,['S6'],1
Fold 83,"['CREB', 'S6']",2
Fold 84,[],0
Fold 85,['S6'],1
Fold 86,['IkB'],1
Fold 87,"['CREB', 'S6']",2
Fold 88,['S6'],1
Fold 89,"['CREB', 'S6']",2
Fold 90,"['CREB', 'S6']",2
Fold 91,"['CREB', 'S6']",2
Fold 92,['S6'],1
Fold 93,['S6'],1
Fold 94,"['CREB', 'S6']",2
Fold 95,"['CREB', 'S6']",2
Fold 96,['S6'],1
Fold 97,"['CREB', 'S6', 'IkB']",3
Fold 98,['S6'],1
Fold 99,['S6'],1
Fold 100,['S6'],1
